node,page_rank,betweenness,closeness,indegree,outdegree
gfx/harfbuzz/src/hb-font,9.052,41689.315,3.42,15,13
media/libsydneyaudio/src/sydney_audio_pulseaudio,2.587,0.0,3.42,0,4
intl/uconv/ucvlatin/nsUnicodeToARMSCII8,2.976,0.033,3.421,2,7
other-licenses/7zstub/src/7zip/Archive/Common/ItemNameUtils,3.427,0.0,3.42,2,4
nsIFrameMessageManager,2.587,0.0,0.914,0,0
projects,2.587,0.0,0.914,0,0
modules/freetype2/src/autofit/afindic,3.212,561.361,3.42,3,11
intl/uconv/tests/nsconv,2.587,0.0,3.421,0,13
xpcom/build/Services,2.74,5280.048,3.421,1,11
nsIDOMAttr,2.587,0.0,0.914,0,0
layout/style/CSSCalc,3.531,9.104,3.421,6,6
layout/svg/base/src/nsSVGTextPathFrame,5.225,44957.038,3.421,5,36
nsprpub/pr/include/md/_irix,2.995,0.0,3.421,1,9
security/nss/lib/softoken/legacydb/lgcreate,3.31,40701.161,3.421,4,29
media/libtheora/lib/apiwrapper,2.949,2.994,3.42,2,14
nsISystemProxySettings,2.587,0.0,0.914,0,0
mozilla/_ipdltest/PTestRPCRacesParent,2.587,0.0,0.914,0,0
nsINSSCertCache,2.587,0.0,0.914,0,0
embedding/browser/activex/src/pluginhostctrl/pluginsdk_include/jni,19.906,6442.791,3.42,20,2
ipc/chromium/src/chrome/common/time_format,3.28,242.234,3.42,2,11
netwerk/test/TestBlockingSocket,2.587,0.0,3.421,0,19
security/nss/lib/sysinit/nsssysinit,2.587,0.0,3.421,0,18
toolkit/components/alerts/src/mac/nsNotificationsList,2.587,0.0,0.914,0,0
rdf/tests/rdfpoll/rdfpoll,2.587,0.0,3.421,0,25
nsprpub/pr/tests/lockfile,2.587,0.0,3.421,0,22
nsprpub/pr/src/misc/pripc,3.605,1.583,3.421,2,5
modules/freetype2/src/base/ftbitmap,2.884,89.815,3.42,2,12
content/base/public/nsIStyleSheetLinkingElement,3.317,0.167,3.421,13,3
content/svg/content/src/nsSVGPolyElement,2.926,115.9,3.421,3,22
build/wince/shunt/include/process,8.485,0.0,3.419,1,0
sys/auxv,2.587,0.0,0.914,0,0
modules/lib7z/LZMASDK/CPP/7zip/Compress/LZMA_Alone/LzmaBenchCon,3.01,27.217,3.42,3,10
xulrunner/app/nsRegisterGRE,3.69,1035.44,3.421,4,4
security/nss/lib/freebl/dh,2.587,0.0,3.421,0,14
gfx/src/gfxCore,46.393,12913.558,3.421,51,1
accessible/src/base/AccGroupInfo,3.212,2.42,3.421,2,7
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/stackwalker,3.481,4.296,3.419,6,8
js/src/v8-dtoa/globals,11.977,0.0,3.419,5,0
nsprpub/pr/include/md/_darwin,2.587,0.0,3.421,0,3
embedding/browser/activex/src/pluginhostctrl/nsPluginWnd,24.077,0.0,3.42,3,1
toolkit/crashreporter/google-breakpad/src/processor/minidump_stackwalk,2.587,0.0,3.42,0,22
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/basic_source_line_resolver,4.192,11.934,3.42,11,5
toolkit/components/commandlines/src/nsCommandLine,2.587,0.0,3.421,0,30
