node,page_rank,betweenness,closeness,indegree,outdegree
gfx/harfbuzz/src/hb-font,9.375,42443.075,3.498,15,13
layout/base/nsIPercentHeightObserver,3.129,0.1,3.498,3,1
intl/uconv/ucvlatin/nsUnicodeToARMSCII8,3.084,0.033,3.499,2,7
other-licenses/7zstub/src/7zip/Archive/Common/ItemNameUtils,3.572,0.0,3.497,2,4
Common/ParseProperties,2.68,0.0,0.951,0,0
security/nss/cmd/lib/pk11table,3.445,45.794,3.499,4,8
xpcom/io/nsStringStream,8.94,116500.924,3.499,34,21
nsIFrameMessageManager,2.68,0.0,0.951,0,0
nsIContentViewerFile,2.68,0.0,0.951,0,0
media/libsydneyaudio/src/sydney_audio_pulseaudio,2.68,0.0,3.498,0,4
layout/base/nsImageLoader,3.129,3764.281,3.499,2,24
modules/libjar/zipwriter/src/nsZipHeader,3.059,80.634,3.499,3,15
gfx/cairo/cairo/src/cairo-wideint,63.145,1020.866,3.497,10,3
content/base/public/nsCaseTreatment,7.608,0.0,3.498,2,0
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/stack_frame,9.486,9.515,3.497,22,2
other-licenses/7zstub/src/7zip/Archive/7z/7zExtract,2.68,0.0,3.497,0,15
modules/freetype2/src/autofit/afindic,3.327,625.195,3.498,3,11
ipc/chromium/src/chrome/common/ipc_logging,3.887,57641.015,3.498,7,24
media/libtheora/lib/quant,4.713,85.75,3.497,4,7
nsIDOMAttr,2.68,0.0,0.951,0,0
layout/style/CSSCalc,3.474,12.922,3.499,6,6
layout/svg/base/src/nsSVGTextPathFrame,3.009,20153.794,3.499,5,34
nsIDOMHTMLBRElement,2.68,0.0,0.951,0,0
media/libvpx/vpx_scale/scale_mode,3.568,0.0,3.497,1,0
security/nss/lib/softoken/legacydb/lgcreate,3.433,40216.474,3.499,4,29
security/nss/lib/cryptohi/sechash,4.652,11305.971,3.499,19,11
security/nss/lib/freebl/blapit,24.963,115054.971,3.498,73,16
security/nss/cmd/libpkix/pkix/top/test_buildchain_uchecker,2.712,3.79,3.498,1,20
nsIContentPrefService,2.68,0.0,0.951,0,0
nsISystemProxySettings,2.68,0.0,0.951,0,0
extensions/spellcheck/src/mozInlineSpellWordUtil,2.888,33.606,3.499,2,20
gfx/cairo/cairo/src/cairo-win32-private,3.058,6342.659,3.498,4,6
nsINSSCertCache,2.68,0.0,0.951,0,0
ipc/chromium/src/chrome/common/bzip2_unittest,2.68,0.0,3.498,0,4
security/manager/ssl/src/nsCrypto,2.759,704.689,3.499,2,114
tools/trace-malloc/lib/nsTypeInfo,11.93,0.0,3.498,10,0
security/nss/cmd/btoa/btoa,2.68,0.0,3.499,0,8
content/xul/content/src/nsXULElement,3.741,108483.858,3.499,9,112
netwerk/wifi/wlanapi,2.832,0.0,3.498,1,0
netwerk/test/TestBlockingSocket,2.68,0.0,3.499,0,19
security/nss/lib/sysinit/nsssysinit,2.68,0.0,3.499,0,14
mozilla/layout/PRenderFrameChild,2.68,0.0,0.951,0,0
rdf/tests/rdfpoll/rdfpoll,2.68,0.0,3.499,0,24
js/src/ctypes/libffi/testsuite/libffi.call/return_fl3,2.68,0.0,3.496,0,1
xpfe/appshell/src/nsWindowMediator,3.221,1344.382,3.499,3,25
usr/include/openssl/sha,2.68,0.0,0.951,0,0
security/nss/lib/freebl/ecl/ec2_193,4.707,13.667,3.497,7,8
nsprpub/pr/src/misc/pripc,3.823,1.583,3.499,2,5
modules/freetype2/src/base/ftbitmap,2.988,93.808,3.498,2,12
gfx/angle/src/compiler/Intermediate,66.603,313013.302,3.498,45,10
ipc/chromium/src/base/lock_impl_win,2.68,0.0,3.497,0,2
uriloader/exthandler/unix/nsExternalSharingAppService,3.077,1.0,3.498,2,1
content/base/public/nsIStyleSheetLinkingElement,3.44,0.167,3.498,13,3
ipc/chromium/src/base/histogram,5.376,4716.159,3.499,8,10
content/svg/content/src/nsSVGPolyElement,3.044,130.135,3.499,3,22
gfx/angle/src/libEGL/Config,4.785,1.333,3.497,4,5
nsIPluginStreamListener,2.68,0.0,0.951,0,0
gfx/thebes/woff,6.967,57609.107,3.498,4,7
security/nss/lib/libpkix/include/pkix_checker,4.87,0.0,3.497,5,1
security/nss/lib/freebl/dh,2.68,0.0,3.499,0,14
gfx/src/gfxCore,41.47,11981.465,3.498,16,1
xpcom/typelib/xpt/src/xpt_xdr,4.892,1517.523,3.499,6,6
usr/include/linux/stat,2.68,0.0,0.951,0,0
security/nss/lib/ckfw/token,7.686,988.852,3.498,9,16
toolkit/crashreporter/google-breakpad/src/common/linux/linux_libc_support,6.807,0.0,3.497,8,0
jpeg/simd/jsimd,3.974,0.0,3.498,3,2
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_pk11certstore,3.456,1716.998,3.499,5,46
js/src/yarr/YarrInterpreter,4.424,233.283,3.498,3,7
content/base/src/nsTextNode,3.797,1577.765,3.499,22,29
widget/src/windows/nsNativeDragTarget,2.895,69742.365,3.499,3,24
intl/uconv/ucvlatin/nsISO885910ToUnicode,3.084,0.033,3.499,2,7
nsprpub/pr/tests/io_timeoutu,2.936,0.0,3.499,2,15
nsprpub/pr/include/md/_darwin,2.68,0.0,3.499,0,3
netwerk/test/TestCommon,6.55,9421.362,3.499,23,11
dom/plugins/ipc/PluginInstanceParent,4.59,67085.361,3.499,10,42
nsIPrintOptions,2.68,0.0,0.951,0,0
editor/libeditor/html/nsHTMLEditUtils,3.883,74.909,3.499,12,15
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/basic_source_line_resolver,4.329,11.934,3.497,11,5
security/nss/lib/freebl/mpi/mpcpucache,5.282,1266.366,3.497,2,1
nsIProtocolProxyService2,2.68,0.0,0.951,0,0
security/nss/lib/ssl/ssl,8.524,5895.325,3.499,43,12
content/base/public/nsIAttribute,4.0,114.629,3.499,11,5
net/base/net_util,2.68,0.0,0.951,0,0
js/src/xpconnect/src/xpcprivate,7.958,114624.762,3.499,45,88
security/nss/lib/zlib/infback,11.055,8916.433,3.497,1,9
jpeg/jcmarker,3.18,4.876,3.498,2,7
parser/expat/lib/expat_external,6.981,0.0,3.498,6,0
nsIXULAppInstall,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/processor/minidump,5.546,4250.499,3.498,12,18
xpcom/tests/TestCOMPtr,2.68,0.0,3.499,0,7
modules/freetype2/include/freetype/ftoutln,7.042,2568.477,3.498,20,8
gfx/cairo/cairo/src/cairo-hash,13.299,218.322,3.498,7,7
nsIXULAppInfo,2.68,0.0,0.951,0,0
gfx/cairo/cairo/src/cairo-hull,2.866,0.65,3.498,1,13
intl/uconv/tests/nsconv,2.68,0.0,3.499,0,13
nsIThreadPool,2.68,0.0,0.951,0,0
gfx/2d/HelpersD2D,6.845,7.6,3.497,4,8
nsICryptoHMAC,2.68,0.0,0.951,0,0
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_aiamgr,6.336,975.427,3.499,6,29
gfx/cairo/cairo/src/cairo-qt-surface,2.68,0.0,3.498,0,23
xpcom/ds/nsTimelineService,3.123,195.078,3.498,2,9
ipc/chromium/src/base/gfx/native_theme_unittest,2.68,0.0,3.498,0,3
netwerk/protocol/about/nsAboutBlank,2.877,30.699,3.499,2,15
tools/reorder/histogram,3.249,0.0,3.497,1,3
widget/src/qt/nsQtKeyUtils,4.591,471.727,3.498,3,5
gfx/cairo/cairo/src/cairo-device-private,20.611,3130.789,3.498,11,7
dom/plugins/ipc/PluginScriptableObjectUtils,3.495,368.092,3.499,4,14
nsIDOMMediaList,2.68,0.0,0.951,0,0
content/svg/content/src/nsSVGValue,4.04,31.767,3.499,8,11
xpcom/string/public/nsTPromiseFlatString,14.458,8369.501,3.499,14,4
modules/freetype2/src/psaux/psconv,4.402,85.487,3.497,4,7
netwerk/base/src/nsAuthInformationHolder,3.187,0.0,3.499,3,7
security/nss/lib/zlib/uncompr,2.907,0.0,3.497,1,4
browser/components/dirprovider/nsBrowserDirectoryServiceDefs,2.776,0.0,3.498,1,0
gfx/thebes/gfxFT2Fonts,3.012,56274.287,3.499,5,43
jpeg/jfdctflt,2.68,0.0,3.498,0,4
mozilla/jetpack/PJetpackParent,2.68,0.0,0.951,0,0
security/nss/cmd/libpkix/pkix_pl/pki/test_generalname,2.712,2.154,3.498,1,8
content/events/src/nsEventListenerService,2.858,47.372,3.499,3,31
js/src/assembler/TestMain,2.68,0.0,3.497,0,11
db/mork/src/morkThumb,3.219,45.06,3.499,3,15
gfx/cairo/cairo/src/cairo-svg-surface-private,2.752,0.0,3.498,1,6
js/src/nanojit/LIRopcode,2.68,0.0,0.951,0,0
