bug_id,regression_ids
1144398,1189852
1108917,1125776^1130913^1131487
1127198,1146101^1192302^1272983
1116056,1204580^1186149^1149278^1271847
1230209,1240766
1108035,1123966
1220037,1223520
1072775,1208656
1207378,1224200
1169129,1267918
1195051,1259831
1196882,1269055
1074401,1084323
1146201,1288976^1268984^1278198^1207439
1066319,1128410^1128939^1121342
1070962,1191576^1128490^1243787^1244502
1142433,1254731
1211335,1242465
1125776,1195073^1175058^1182287
1132796,1163227
1171629,1186149
1109437,1143575^1135785^1128811^1142527
1175104,1179051
1124031,1237842
1232069,1253471
1100360,1128768
1177155,1210294
1064481,1074963
1135541,1169129^1267918
1063271,1255817
1268740,1288985
1141260,1264467
1088043,1269365
1132468,1176551
1208000,1225648
1189829,1207368
1151309,1180105
1118235,1212349
1131638,1161416^1145101^1143575
1219852,1220728^1253777
1170211,1197296
1121479,1146873
1159973,1195578
1072645,1073704
1123245,1146873
1244500,1265173
1092010,1240985^1110938^1237458
1125848,1180688^1153939
1167248,1236619
1277882,1279608
1241665,1241816
1223131,1278605
1146874,1256992
1258768,1265282^1270075
1079729,1155059
1160070,1221840
1051633,1172467
1212328,1277267^1290422
1125970,1154194^1168531^1155268^1145101^1154782
1249578,1285867
1063733,1069369^1078211
1081686,1139297
1097823,1128576^1129246
1141931,1230408^1181890^1274443^1229437^1156222
1172870,1238707^1231498^1279503^1278253^1276013
1050500,1168593^1172246
1126164,1159273
1221365,1226324
1159171,1236746
1138253,1143575
1060811,1160689
1092833,1293258
1117768,1122195
1077084,1228640
1064840,1093298
1064479,1207665
1124121,1214059
1098126,1190258^1186149^1118597^1253471
1093316,1174450
1229987,1261312^1270323^1293646
1066726,1123920
1101552,1224833
1185636,1191609^1285658
1138391,1207571
1108707,1131487^1114910^1143575
1108701,1188131^1208932^1144519^1129877^1114910^1129247
1250704,1280951
1236979,1287706
1104008,1135271
1182411,1284939^1222662^1257759
1127203,1182287
1085266,1124880
1257242,1275040^1275039
1073345,1173195
1244523,1251184^1254731
1079546,1122788^1134309
1123498,1269408
1116376,1150639
1171228,1192989
1238558,1292505
1145336,1237842
1150805,1261428
1125503,1147497
1111413,1167608^1168778^1129246
1129263,1235183
1145101,1161416
1210941,1249652
1143194,1149510
1208043,1224994
1114347,1243793
1170522,1187178
1102443,1147497
1063538,1251697
1207442,1236746
1199518,1261900
1183910,1259810^1221348^1288649^1209268^1267253^1279063^1270404
1105194,1227136
1062876,1181896^1257950
1173972,1179051
1187203,1211892
1180443,1224230
1064320,1191936^1200341
1258317,1266440
1092842,1226904
1073805,1098400^1096764
1172239,1216431
1078354,1190676
1258663,1266440
1203367,1274445
1116473,1251163
1234158,1277818^1273013
1153123,1179051^1221348
1234422,1237582^1257759
1128765,1236112
1128769,1209751
1105535,1192989
1146663,1292505
1060738,1181896^1103188^1154389^1224766^1213517
1212499,1253386
1134841,1169210
1201796,1210291
1116384,1194197
1235633,1263292^1265036
1225003,1230692
1089364,1147728^1104008^1135271
1137614,1159840
1049138,1117338
1054972,1070955
1082734,1183450^1093611
1068189,1094409
1072044,1172785^1136871
1135491,1254847
1181907,1208344^1281971
1097437,1123019
1068802,1127066^1107606
1133119,1224976
1192573,1211805
1064128,1134064
1107684,1174486^1147215
1242904,1261318
1114804,1170045
1215140,1253777^1226479^1247623
1213646,1269254
1111971,1171716^1164567
1170143,1179051
1268083,1292664
1111328,1203736^1147744^1187076^1199193
1253379,1263028
1110534,1199193^1127554^1143339^1155268^1181894
1108767,1129877
1092915,1163227
1126038,1285867
1123535,1161416^1173657
1114587,1143679
1132757,1264925
1226148,1257759
1177013,1240985
1190257,1256547
1207424,1269029
1185115,1216748
1277818,1280951
1130784,1136897
1085175,1138072^1096721
