bug_id,regression_ids
1116056,1204580^1186149^1149278^1271847
1108035,1123966
1220037,1223520
1196882,1269055
1146201,1288976^1268984^1278198^1207439
1111788,1173634
1171629,1186149
1120017,1162381
1175104,1179051
1124031,1237842
1232069,1253471
1064481,1074963
1232268,1239066
1132468,1176551
1112972,1200413^1151309
1131638,1161416^1145101^1143575
1170211,1197296
1159973,1195578
1177505,1216096
1123245,1146873
1244500,1265173
1125848,1180688^1153939
1167248,1236619
1277882,1279608
1146874,1256992
1258768,1265282^1270075
1079729,1155059
1151495,1200004
1212328,1277267^1290422
1121332,1289942
1267980,1276930
1249578,1285867
1063733,1069369^1078211
1141931,1230408^1181890^1274443^1229437^1156222
1126164,1159273
1131433,1142336^1195073^1182287^1186257^1175058^1194197^1163227^1154782
1138253,1143575
1093316,1174450
1066726,1123920
1138391,1207571
1102538,1243754^1138391^1249493^1148661^1115847
1105066,1143575
1180101,1244523
1182411,1284939^1222662^1257759
1127203,1182287
1147857,1153056
1085266,1124880
1257242,1275040^1275039
1073345,1173195
1244523,1251184^1254731
1123498,1269408
1116376,1150639
1238558,1292505
1125503,1147497
1143194,1149510
1208043,1224994
1170522,1187178
1105194,1227136
1194576,1221825
1062876,1181896^1257950
1064320,1191936^1200341
1258317,1266440
1092842,1226904
1073805,1098400^1096764
1264187,1272160
1078354,1190676
1116473,1251163
1065909,1147497
1153123,1179051^1221348
1234422,1237582^1257759
1128765,1236112
1128769,1209751
1060738,1181896^1103188^1154389^1224766^1213517
1212499,1253386
1225003,1230692
1089364,1147728^1104008^1135271
1137614,1159840
1049138,1117338
1054972,1070955
1082734,1183450^1093611
1068189,1094409
1072044,1172785^1136871
1097437,1123019
1107684,1174486^1147215
1242904,1261318
1213646,1269254
1111971,1171716^1164567
1170143,1179051
1253379,1263028
1211000,1243453
1129369,1197943
1123535,1161416^1173657
1209774,1285561
1132757,1264925
1226148,1257759
1190257,1256547
1207424,1269029
1112956,1200413
1185115,1216748
1130784,1136897
1187067,1264622
1085175,1138072^1096721
1148071,1183433^1163239
1240985,1257314
1219134,1236746^1239066
1193387,1200656^1200187
1074223,1227058
1270161,1273070
1073825,1240025
1150277,1268984
1233819,1283594
1127213,1143968^1136360^1136107
1257028,1271525
1223193,1239504
1219330,1293772
1154366,1156662
1120023,1296453
1204922,1239861
1051822,1201051^1212349
1062920,1162218
1108838,1147226^1240478
1154536,1210232
1246319,1249438
1126465,1128576^1129877^1129247
1119033,1125776
1196398,1229339^1253471
1147521,1153145^1155241
1149605,1275853
1107666,1272858
1248913,1275026
1121692,1143575^1129247
1082178,1162218
1147728,1192058
1063048,1137716
1185820,1251697
1096089,1125776^1128397^1129247
1143299,1153695
1203616,1276483
1145143,1204922
1102642,1195073^1175058^1259916^1186257
1113062,1125940
1135408,1144900^1279063
1123452,1283724
1060114,1138934
1121148,1188643
1243538,1266013
1272916,1276184
1137511,1244639
1167189,1266831
1081911,1153724
1111160,1173634
1120128,1171094
1196696,1267637
1165851,1236258
1211970,1249652
1139271,1148203^1149278^1271847
1069401,1193414
1205456,1209843
1059797,1239789
1262731,1264403
1061327,1088984^1091296
1216658,1272332
1120655,1280132
1126723,1136827
1061696,1068613
1160321,1208349
1213567,1240607
1200021,1230740
1075199,1160914
1055904,1134064^1133625
1170809,1255597
1136397,1294013
1151361,1179051
1120945,1276920
1167883,1274922
1141081,1235573
1089833,1177013
1092859,1133386
1199224,1224994
1160890,1249652^1229071
