bug_id,bug_inducing_commits
999756,
999755,
791011,9b2a99adc05e
1059265,
832578,ece6848a46a7^6cd206b37176^fdc72b8c249c^8add57bafb0d^196cd36978ba
924622,e1fb91e37cb8^eb41ace1d0b5^8361bd47b3fe^15e370eefa9f^66d756c2c44d^1abe9e627533^85dd7094b78d^4d17fe7b47b6^e31cee42a32f^4c60c40075e9^ee5ca214e87c^d721b3df0c6b^23f4b815ce82^95039cfae6a3^72ee03c1e571^58e6c346c72a^9b2a99adc05e^db7260efc9a7^4e25e2e82747^5bd7228ca8a7
994456,
882718,
704922,
1008171,
1120874,
840823,
718684,
1127171,59f21770c4da
1200151,
792054,
755517,
785720,
1140263,
886418,
886417,a9ab0881ebe2
995420,
746016,
1147819,
1271601,39217d4a17fb
904202,
780009,25ec9ccddcb5
1243835,
817019,
1158281,
1060705,
866514,0b3cc07a299a^2512bb04bbe0^86a8ca51e847^b3993179ea52^937342a52d2e
777220,
807850,
702448,
696579,a36e8ebbe3f8
869208,
1060708,6f4ab9a3d734
721803,aba1658ce66c
738804,4c55c33b49d3^4cbfa6301465
1200236,
1015527,
965309,
1143514,
984677,
1079811,
859774,ed6491f2335e
1280128,
1210513,
690307,
1280121,
1158289,
1250534,
1038257,
836043,
763049,
942950,
744888,
818468,
989112,
885298,
749305,
857355,4db1cd62b2c3
1166985,
1190526,26a02411f50b
745141,9b2a99adc05e^dbdd01fabe45
816494,5772d30e6894^a1ccb1c489ba
732870,9b2a99adc05e^98d45ba64574
709323,
1132502,caa4ffd2f765^655050f4a746^2d2444eecf83
1051224,e7854b4d29ba^7b44740b12b1
981325,b3d85b68449d
1221947,d26e94b94bcb
816498,9b2a99adc05e^82077de3f9bc
799877,
706387,
1265795,7c682fb2f547^96a4652daf8c^a16372ce30b5
1265797,
1165981,
1185927,
1165982,660729ebfe51^f084c3df7b7a^9b2a99adc05e
962140,fd9de8d2e181^5a9badd6db00^32862e87f64c^269686777a14^35eda0ced2e7^a8a8133f4a66^4665d96e7f1a^950b1a7567b8^e9e804a67d29^bfb52492b116^c9942d8142e7^a16372ce30b5^0ed82af5475f^32c3d5e2fa51^2937f4dc01f9^d2f6e4dd2f91^40644f9ee83e^60420c75c496
969492,
836951,9c8970c4523f^9b2a99adc05e
1058352,
836225,cd882f775915^39b72947ad79^afb24aa8ed2e
1135045,
1184387,
1151862,
668960,
905150,a8fac69129b0
972478,e039358204f5
1049565,
1153306,
1109889,
737758,3dbddbb05ae4^e7854b4d29ba^d4c6be1f2db4^0d676d694f99^eb1ae9aabecc^9cc11c490ec2^d66b9df51eff^ec7577dec4fc^4ccff5df452c^d8485927c4cc^6af178d3d570^e870951c9167^9b2a99adc05e^2a0d0ed04874
1213150,1e12e3b68478^b02c0d6ff380^ac4464790ec4
1120282,
889193,42a279333ade^b2770cf6dcbd^c3b2be18c306
932816,
1183559,
1041148,
654707,
1152314,
1208799,5a780859dc1c
901312,77d2640d9892^8e5568181a8a
1179249,
1267246,232fda30a2ad^8912027ef25c
909078,9b2a99adc05e^b4b7eb4407c3
646968,2cf0bbe3772a^59777f67a532^9c869e64ee26^ea1ffb1c0d93^5db593415bf1^339457364540^9b2a99adc05e
1172055,b5c4b792f3f2^e746b40974d1^c9ae720fb05d^e7854b4d29ba^9b2a99adc05e
713991,
1265865,91b6a396bf7c
809094,
1102538,74b72f105574^fe7a314efca0
827254,
1091016,f23cea600bd0^bcd52abd2495
903802,
820971,
875000,
951366,12657c2feb9c^ccfb71f96791^a43be719866e
1193535,
720048,
1211805,c21b91a01cce^6e3d40edf181
694084,
958109,
974175,
1107836,
724978,0cafa2cbe386^9b2a99adc05e
1158884,
884471,71545c41ea4c
1158887,
1195976,
1062758,
940889,
1076967,
773830,6a640ca09064
739697,
1005622,
1253379,
743421,
799126,
871278,443276883c2d
768568,9b2a99adc05e
418615,
1006026,
1006027,f05e05787c07^3f528e61aacf
1255270,
1008778,
1154923,99a6ee6466f5
1108627,
1174064,d778005df072
1042984,
711595,
998908,d71234d65e90^bf1a005f1e61^0ded3af9b2d7^2da1013d5182^1c6097e5c4d4^1392d241c137^47495d62d7f7
874974,b769a2b79e6b^dd84f621ca25^0a7a2c6d72de^b9679727505d
1167356,ea8d855c4edb
1081959,
798834,9ba1a4e7e47c^a3c416843da0^f27c74c5ac80^090fd1585e34^47a17015ef4a^13897ce0f3a2^85bef04d1258^b863ef9946b8^a458c2ce253b
1257611,583d84aeb6c6^8c60c6fa67c9^4d66cd80b6be^825be41800cd
1271049,
828184,
966348,818909e61451^a4c6de5079e5
663211,
828180,0a67f83f18cb
966342,
1234147,
1181130,0cf2984f2c59^037363fa0258
1267936,
1267935,
760458,1346fb90ab8f
664930,102be3d1f103
888250,
1042479,
1144398,
648485,
844289,6cc5db7e2fad^1c416ab33c8e^2d93b0b69925^1f0c0a016330
938794,a16372ce30b5
648483,a2825fbe23e3^4666d67cba75^87f33805c2fd
1297051,5d4ec5597daa^eabee47625c6
1277910,
823400,
1116676,6da2e1063f0e^1d18303ed2f7^951d22a66a3c^59f21770c4da
691594,
1140890,8f0ebd310f1d^1fe0f523e644^a92c968b29ae
893785,
1243793,c2e5feedaa8f^88daef90f2ab^4a979ea519e2
910236,
710176,437dcecc6377^9b2a99adc05e^5f27eedf78c9^88e27b100e45
885624,2e3a491f3631
976115,
713229,
1035131,
945105,
718153,
941137,
1153123,587c4a3c4c6b
918682,9b2a99adc05e
828236,
1279613,8374f1f94ea5^f063968fe9ad
989897,e473518a9cd4^ba9ad7164a84^e284964e5bcf^1002b028b6c4^35013af94ec7^2a084a7cdddf^f34a58fcc1a3^b5c4b792f3f2^4533ba7b957f^d13fc07e67af^39f409d75550^9b2a99adc05e^c4d78e3f9ec1^ab216bb516fc
828232,
548685,
1246850,5cf375bf524d^9b2a99adc05e^b6cc542d38ff^031d2a479bd7
916226,
876721,38c7d7a7f586
696014,
1022268,cf1ca47f2830^9b2a99adc05e
1057764,cb5e6705205d^64c15d8b1874^892751e80036
826349,3769c967ce4b^8f92b512bf11^974411e8e567^a00257dcffab
1148024,
1162720,9cfd185f1ff8
1149626,
705407,9b2a99adc05e
725736,
1244076,
785536,85a3f4b90adc
1100565,
941862,
1279819,5db982657c9b
1067565,a4a8b3b58191
941868,
811382,
1067568,
1063883,cda06a015aea^8c852c4ecde1^5a35174bd170^68d1416b253c
862401,c3a5c2cbeba8
1219754,
858940,
935773,
960571,
1182866,
1189212,
1186522,44558c02904e^55469eb2cfa6^59b57fd2af61^22761f1474f0^70e1e02b917d
1249312,d2de18bbfedc
1122074,
761212,
1093620,
764337,
1148390,
983208,8394fed3332e^2402eb839597^ee5ca214e87c
1265262,57af526c3654
1047146,
740306,
1177790,
667012,
825804,
979456,
1021002,
1021001,3e60625da760
712571,
750820,728077e8679d^cabb8925dcd3
762948,cf46d4a4511e
1153688,69fe2af4da71
886067,
1051746,
873360,
712574,
1097587,
723894,
723899,
1137211,
1255823,9e71a38057d1
934794,
821695,
1151139,2350ed0a5b3f
940714,aa05520db4ca^62a48b2712fb^5b2f0911e33e^0c6319c01688^f5059c01c197^899b3dcf51a7^9f856f094fea^6eb8d33411ab^1c0af79ac29c
934412,313445f455f3^26f83c4cb81e
1089214,3bff6b2db01c
796038,3305baa9f049^09362c5dceaf^a24884c8140a^9c386b44a2f9^e24335d5c15f^a16372ce30b5^ec7577dec4fc^9b2a99adc05e
934799,
1085509,696e20fda14b^92135ef7684c^baedef36059e^240a0b085725^9649eb8bda37^aaad90a5936f^04ea38d3515f^b5c4b792f3f2^3acf9162f52d^a16372ce30b5^81c44f9b50ac^1a89509e25e4^3d9424eb6eb4^e7854b4d29ba
874090,9a471f858d6b^dde6b08c74f7
1094539,47007b47379f
872774,b81c844b0e5f
1206981,
872806,
1085506,b44c631a881a^efae575a79e4^5db1f111ac19
863865,
1062490,
877097,e7877c4ddaa5^0c513ba74137
1272340,
978491,
1285281,
991394,
1258086,
1041646,3f4223fab461
754251,
