node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,2.285,0.0,3.22,0,2
layout/base/nsIDocumentViewerPrint,2.465,104.26,3.22,3,8
content/events/src/nsDOMEvent,8.852,132331.236,3.22,58,49
content/svg/content/src/nsSVGUnknownElement,2.326,15.784,3.22,1,15
ipc/glue/ProcessChild,2.285,0.0,3.22,0,5
sys/isa_defs,2.285,0.0,0.812,0,0
nsprpub/pr/tests/dceemu,2.285,0.0,3.22,0,3
gfx/layers/d3d10/ColorLayerD3D10,2.659,6.401,3.22,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,2.285,0.0,0.812,0,0
security/nss/lib/ssl/sslsnce,2.566,25980.352,3.22,5,48
js/src/methodjit/NunboxAssembler,2.285,0.0,0.812,0,0
js/xpconnect/src/XPCThrower,3.448,115.697,3.22,12,15
ApplicationServices/ApplicationServices,2.285,0.0,0.812,0,0
nsILocaleService,2.285,0.0,0.812,0,0
widget/gtk2/nsIImageToPixbuf,2.514,0.0,3.22,2,3
layout/base/RestyleTracker,2.514,2.792,3.22,3,18
gdk/gdkkeysyms,2.285,0.0,0.812,0,0
dom/plugins/base/nsPluginNativeWindowQt,2.285,0.0,3.22,0,7
parser/html/nsHtml5SpeculativeLoad,3.127,390.572,3.22,3,10
xpcom/tests/TestStreamUtils,2.285,0.0,3.22,0,8
security/nss/lib/ckfw/nssmkey/minst,2.933,221.258,3.219,1,7
security/nss/lib/pki/pkim,6.604,13214.071,3.22,15,10
dom/base/nsWrapperCache,11.213,11319.612,3.22,46,9
security/nss/lib/ckfw/capi/constants,3.239,5.5,3.219,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.654,0.0,3.219,3,1
media/libtremor/lib/tremor_window,2.421,2.0,3.219,1,4
netwerk/test/ReadNTLM,2.285,0.0,3.22,0,7
gfx/skia/include/core/SkRefDict,2.774,2.711,3.219,1,4
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,4.271,4.0,3.219,2,3
ipc/chromium/src/base/message_pump_default,3.78,5841.146,3.22,3,8
modules/freetype2/include/freetype/ftoutln,6.035,3494.807,3.22,21,8
mozilla/_ipdltest/PTestLatencyParent,2.285,0.0,0.812,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,2.285,0.0,3.219,0,6
dom/base/nsLocation,2.383,11.937,3.22,3,41
tools/profiler/libunwind/src/src/x86/Ginit_remote,4.228,4055.0,3.219,1,3
security/nss/lib/ssl/sslerrstrs,2.578,8420.919,3.22,1,10
gfx/graphite2/src/gr_slot,2.437,2.386,3.22,2,8
modules/freetype2/src/base/ftgasp,2.285,0.0,3.22,0,7
content/svg/content/src/SVGIntegerPairSMILType,2.643,426.369,3.22,2,9
gfx/skia/include/core/SkTSearch,7.149,0.125,3.22,21,3
extensions/spellcheck/hunspell/src/hunspell_alloc_hooks,2.285,0.0,3.219,0,1
nsIX509Cert2,2.285,0.0,0.812,0,0
layout/printing/nsPrintData,2.42,2.913,3.22,2,19
tools/profiler/libunwind/src/src/dl-iterate-phdr,3.882,3007.441,3.22,3,7
security/nss/cmd/modutil/install-ds,3.953,2836.833,3.22,4,10
netwerk/cookie/CookieServiceParent,2.285,0.0,3.22,0,9
xpcom/tests/SizeTest01,2.285,0.0,3.22,0,3
gfx/skia/include/gpu/GrInstanceCounter,6.467,0.0,3.219,1,1
js/src/frontend/FoldConstants,2.849,5.746,3.219,3,18
layout/style/nsCSSPropList,14.441,15883.162,3.22,8,3
gfx/cairo/libpixman/src/pixman,45.089,156450.289,3.22,54,14
nsprpub/pr/tests/lock,2.374,16.425,3.22,1,25
mfbt/Util,5.588,12145.46,3.22,5,1
xpcom/reflect/xptcall/src/md/win32/xptcinvoke,2.285,0.0,3.22,0,7
content/xslt/src/xpath/txMozillaXPathTreeWalker,5.656,53738.62,3.22,25,31
content/base/src/nsDOMFile,2.538,5277.515,3.22,5,51
modules/zlib/src/crc32,3.603,470193.071,3.22,7,9
content/xbl/src/nsXBLEventHandler,2.518,30.512,3.22,4,21
nsprpub/pr/tests/semapong,2.285,0.0,3.22,0,8
netwerk/cache/nsDeleteDir,6.547,1057.914,3.22,4,13
nsprpub/pr/tests/multiacc,2.285,0.0,3.22,0,14
xpcom/glue/nsHashKeys,33.513,28260.314,3.22,121,17
gfx/skia/include/gpu/GrClipIterator,3.36,0.5,3.219,5,2
nsIDOMSVGTitleElement,2.285,0.0,0.812,0,0
security/nss/lib/freebl/stubs,2.285,0.0,3.22,0,34
mozilla/ipc/ProtocolUtils,2.285,0.0,0.812,0,0
modules/freetype2/src/type1/t1tokens,2.426,0.0,3.219,1,2
