node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,2.23,0.0,3.105,0,2
layout/base/nsIDocumentViewerPrint,2.414,156.911,3.105,3,8
content/events/src/nsDOMEvent,9.215,117683.913,3.105,63,49
content/svg/content/src/nsSVGUnknownElement,2.268,12.278,3.105,1,14
ipc/glue/ProcessChild,2.23,0.0,3.105,0,5
sys/isa_defs,2.23,0.0,0.785,0,0
nsprpub/pr/tests/dceemu,2.23,0.0,3.105,0,3
gfx/layers/d3d10/ColorLayerD3D10,2.586,1.887,3.105,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,2.23,0.0,0.785,0,0
security/nss/lib/ssl/sslsnce,2.505,24765.158,3.105,5,47
js/src/methodjit/NunboxAssembler,2.23,0.0,0.785,0,0
js/xpconnect/src/XPCThrower,3.441,2291.278,3.105,12,16
ApplicationServices/ApplicationServices,2.23,0.0,0.785,0,0
nsILocaleService,2.23,0.0,0.785,0,0
widget/gtk2/nsIImageToPixbuf,2.467,0.0,3.105,2,3
layout/base/RestyleTracker,2.45,2.327,3.105,3,18
gdk/gdkkeysyms,2.23,0.0,0.785,0,0
dom/plugins/base/nsPluginNativeWindowQt,2.23,0.0,3.105,0,7
parser/html/nsHtml5SpeculativeLoad,3.051,380.418,3.105,3,10
xpcom/tests/TestStreamUtils,2.23,0.0,3.105,0,8
security/nss/lib/ckfw/nssmkey/minst,2.861,752.516,3.104,1,7
security/nss/lib/pki/pkim,4.543,13588.446,3.105,15,10
dom/base/nsWrapperCache,12.195,210625.178,3.105,50,9
security/nss/lib/ckfw/capi/constants,3.16,5.5,3.104,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.616,0.0,3.104,3,1
media/libtremor/lib/tremor_window,2.371,2.0,3.104,1,4
content/xslt/src/xslt/txTextHandler,2.537,0.0,3.105,2,9
netwerk/test/ReadNTLM,2.23,0.0,3.105,0,7
gfx/skia/include/core/SkRefDict,2.706,4.423,3.104,1,4
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,4.171,4.0,3.104,2,3
media/libopus/silk/fixed/vector_ops_FIX,3.669,1.0,3.104,6,4
ipc/chromium/src/base/message_pump_default,3.739,7369.282,3.105,3,8
modules/freetype2/include/freetype/ftoutln,5.904,3510.426,3.105,21,8
mozilla/_ipdltest/PTestLatencyParent,2.23,0.0,0.785,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,2.23,0.0,3.104,0,6
dom/base/nsLocation,2.322,12.269,3.105,3,42
tools/profiler/libunwind/src/src/x86/Ginit_remote,4.125,3979.0,3.104,1,3
security/nss/lib/ssl/sslerrstrs,2.516,7853.445,3.105,1,10
media/libopus/silk/float/find_LTP_FLP,2.37,46.167,3.104,1,13
gfx/graphite2/src/gr_slot,2.382,2.386,3.105,2,8
modules/freetype2/src/base/ftgasp,2.23,0.0,3.105,0,7
content/svg/content/src/SVGIntegerPairSMILType,2.579,446.669,3.105,2,9
gfx/skia/include/core/SkTSearch,7.52,0.773,3.105,23,3
extensions/spellcheck/hunspell/src/hunspell_alloc_hooks,2.23,0.0,3.104,0,1
nsIX509Cert2,2.23,0.0,0.785,0,0
layout/printing/nsPrintData,2.361,4.005,3.105,2,19
tools/profiler/libunwind/src/src/dl-iterate-phdr,3.799,2913.632,3.105,3,7
security/nss/cmd/modutil/install-ds,3.952,3171.88,3.105,4,9
netwerk/cookie/CookieServiceParent,2.23,0.0,3.105,0,9
xpcom/tests/SizeTest01,2.23,0.0,3.105,0,3
gfx/skia/include/gpu/GrInstanceCounter,16.958,0.0,3.104,1,3
js/src/frontend/FoldConstants,2.774,8.113,3.104,3,19
layout/style/nsCSSPropList,13.895,15858.024,3.105,8,3
gfx/cairo/libpixman/src/pixman,48.075,126124.66,3.105,54,13
nsprpub/pr/tests/lock,2.316,6.876,3.105,1,25
mfbt/Util,3.193,0.0,3.105,6,0
xpcom/reflect/xptcall/src/md/win32/xptcinvoke,2.23,0.0,3.105,0,7
content/xslt/src/xpath/txMozillaXPathTreeWalker,5.544,56171.464,3.105,25,31
content/base/src/nsDOMFile,2.601,5716.817,3.105,6,48
modules/zlib/src/crc32,3.767,1470.363,3.105,7,6
content/xbl/src/nsXBLEventHandler,2.463,12.449,3.105,4,20
nsprpub/pr/tests/semapong,2.23,0.0,3.105,0,8
netwerk/cache/nsDeleteDir,6.814,1131.02,3.105,4,13
nsprpub/pr/tests/multiacc,2.23,0.0,3.105,0,14
xpcom/glue/nsHashKeys,33.255,23908.447,3.105,125,16
gfx/skia/include/gpu/GrClipIterator,3.364,36.044,3.104,5,3
