bug1,bug2,date1,date2,type1,type2
1113930,1233666,20141220021426,20151218093900,uplift,uplift
1160295,1195844,20150430202443,20150818163210,uplift,uplift
1128225,1128769,20150201035821,20150203002647,uplift,uplift
1218297,1233774,20151026075547,20151218180432,uplift,uplift
1279208,1283067,20160609122902,20160629112557,uplift,uplift
1066319,1127173,20140911212319,20150129031709,uplift,other
1257861,1263533,20160318145230,20160411074115,uplift,other
1251527,1273024,20160226063326,20160516025019,uplift,uplift
1098677,1100721,20141114023040,20141118024809,uplift,uplift
1078262,1097776,20141006134328,20141112170009,uplift,other
1066970,1267195,20140913112519,20160425105851,uplift,uplift
1197913,1264271,20150824180237,20160413132003,uplift,other
1180379,1193802,20150704101008,20150812152930,uplift,other
1164264,1173634,20150512225830,20150611013517,uplift,uplift
1262556,1264807,20160406180919,20160414230909,uplift,other
1173634,1175783,20150611013517,20150618022536,uplift,uplift
1163360,1164208,20150510020618,20150512205046,uplift,uplift
1163265,1163360,20150509023643,20150510020618,uplift,uplift
1163111,1163265,20150508192814,20150509023643,uplift,uplift
1121876,1123269,20150115092630,20150119111533,uplift,uplift
1163375,1168346,20150510100217,20150526113443,uplift,other
1270161,1271493,20160504154510,20160510020642,uplift,uplift
1255270,1279208,20160310040134,20160609122902,uplift,uplift
1240528,1241621,20160118153329,20160121211135,uplift,uplift
1119363,1157415,20150108180902,20150422195710,uplift,other
1062920,1078163,20140904151656,20141006082322,uplift,uplift
1154683,1158568,20150415115014,20150426030812,uplift,uplift
1175765,1175783,20150618004326,20150618022536,uplift,uplift
1173930,1183019,20150611192920,20150713082239,uplift,other
1162147,1163655,20150506173412,20150511160259,uplift,uplift
1173357,1179249,20150610140352,20150701144757,uplift,uplift
1242450,1255841,20160125133556,20160311175621,uplift,uplift
1210057,1233867,20150930181027,20151218230419,uplift,other
1102911,1104846,20141121151531,20141125172658,uplift,uplift
1170211,1186002,20150601165831,20150721135731,uplift,other
1055464,1246291,20140819100731,20160205222115,uplift,uplift
1154003,1162520,20150413193215,20150507142235,uplift,other
1089454,1162520,20141027032808,20150507142235,uplift,other
1089454,1154003,20141027032808,20150413193215,uplift,uplift
1188376,1198345,20150728144318,20150825165119,uplift,other
1134387,1139380,20150218215121,20150304135516,uplift,uplift
1121829,1126185,20150115052936,20150127081318,uplift,uplift
1202279,1202280,20150906201156,20150906201314,uplift,other
1271516,1289571,20160510033154,20160726201008,uplift,other
1073910,1122344,20140928051359,20150116015857,uplift,other
1177461,1180610,20150625191157,20150706093047,uplift,uplift
1264694,1268332,20160414163055,20160428025120,uplift,other
1216699,1217165,20151020194050,20151021200414,uplift,other
