bug_id,review_iterations,comment_times,comment_words,reviewers,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedback_rate,feedback_delay,review_status
1197534,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.08,3.08,0.0,-1.0,-1.0,+
1126562,1.0,0.0,0.0,1.0,0.0,1.0,0.0,136.31,136.31,0.0,-1.0,-1.0,+
1080904,1.0,0.0,0.0,1.0,1.0,1.0,0.0,15.13,15.13,0.0,-1.0,-1.0,+
1080909,1.0,0.0,0.0,1.0,1.0,1.0,0.0,254.49,254.49,0.0,-1.0,-1.0,+
1246680,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.58,23.58,0.0,-1.0,-1.0,+
1271609,1.0,3.0,29.0,1.0,0.0,1.0,0.0,1.12,1.12,0.0,-1.0,-1.0,+
1159378,1.0,0.0,0.0,1.0,0.25,1.0,0.0,37.33,37.33,0.0,-1.0,-1.0,+
1134667,1.0,0.5,4.5,1.0,0.0,1.0,0.0,0.37,0.37,0.0,-1.0,-1.0,+
1266077,1.0,1.0,9.0,1.0,0.0,1.0,0.0,53.73,53.73,0.0,-1.0,-1.0,+
1227810,1.0,1.0,7.0,1.0,0.0,1.0,0.0,3.66,3.66,0.0,-1.0,-1.0,+
1227813,1.0,0.5,1.5,1.0,0.0,1.0,0.0,0.29,0.29,0.0,-1.0,-1.0,+
1165184,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.19,53.19,0.0,-1.0,-1.0,+
1073113,1.0,4.0,12.0,1.0,0.0,1.0,0.0,24.32,24.32,0.0,-1.0,-1.0,+
1174204,1.0,1.0,18.0,1.0,0.0,0.5,0.0,0.18,0.18,0.0,-1.0,-1.0,+
1073117,0.69,0.0,0.0,0.69,0.0,0.69,0.0,46.18,46.18,0.12,-0.88,167.6,?
1219820,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.26,1.26,0.0,-1.0,-1.0,+
1219821,1.0,3.0,25.0,1.0,0.0,1.0,0.0,0.2,0.2,0.0,-1.0,-1.0,+
1074832,1.0,2.0,17.0,1.0,0.0,0.33,0.0,3.28,3.28,0.0,-1.0,-1.0,+
1074833,1.0,2.0,46.0,1.0,0.0,1.0,0.0,18.62,18.62,0.0,-1.0,-1.0,+
1074836,1.0,0.62,17.25,1.0,0.38,0.62,0.0,16.19,16.19,0.0,-1.0,-1.0,+
1125030,0.75,5.75,98.0,0.75,0.0,0.75,0.0,6.37,6.37,0.25,-0.75,0.28,?
1169241,1.0,0.5,3.0,1.0,0.0,1.0,0.0,34.9,34.9,0.0,-1.0,-1.0,+
1132501,0.75,18.75,377.5,0.75,0.0,0.75,0.0,5.54,5.54,0.25,-0.75,-0.41,?
1132502,1.0,4.5,49.5,1.0,0.0,1.0,0.0,13.52,13.52,0.0,-1.0,-1.0,+
1165458,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.1,5.1,0.0,-1.0,-1.0,+
1165456,1.0,1.75,13.88,1.0,0.0,1.0,0.0,76.72,76.72,0.0,-1.0,-1.0,+
1135047,2.0,2.0,19.5,2.0,0.0,2.0,0.0,8.57,2.93,0.0,-1.0,-1.0,+
1220895,1.0,4.0,103.5,1.0,0.0,0.5,0.0,23.96,23.96,0.0,-1.0,-1.0,+
1135040,1.0,3.0,36.0,1.0,0.0,1.0,0.0,3.1,3.1,0.0,-1.0,-1.0,+
1220897,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.62,4.62,0.0,-1.0,-1.0,+
1135042,0.83,4.0,34.83,0.83,0.0,0.83,-0.17,3.25,3.25,0.17,-0.83,-0.57,+
1272647,1.5,1.0,18.0,1.5,0.0,1.5,0.25,56.64,60.63,0.0,-1.0,-1.0,?
1275614,0.5,7.0,98.0,0.5,0.0,0.5,-0.5,0.43,0.43,0.5,-0.5,14.1,+
1109888,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7,0.7,0.0,-1.0,-1.0,+
1109889,1.0,0.17,2.33,1.0,0.0,0.17,0.0,0.05,0.05,0.0,-1.0,-1.0,+
1109886,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.01,0.0,-1.0,-1.0,+
1104875,1.0,1.0,1.0,1.0,0.0,0.5,0.5,55.16,55.16,0.0,-1.0,-1.0,?
1109884,1.0,0.0,0.0,1.0,1.0,1.0,0.0,13.14,13.14,0.0,-1.0,-1.0,+
1109883,1.0,0.0,0.0,1.0,1.0,1.0,0.0,85.7,85.7,0.0,-1.0,-1.0,+
1272649,1.0,1.0,12.0,1.0,0.0,1.0,0.0,51.38,51.38,0.0,-1.0,-1.0,+
1262368,1.0,2.0,13.5,1.0,0.0,0.5,0.0,14.63,14.63,0.0,-1.0,-1.0,+
