Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
385.0,0.0,125.0,2.4,10.0,0.05,1.47,3965.45,1.58,20,12.0,0.0,25.68,-3,-3,160.8,1.6,27.0,-0.301655092593,2.0,0.186053240741,6.1750462963
222.0,0.0,953.0,2.2,52.6,0.16,1.88,105202.19,2.56,26,35.0,21.0,19.17,-3,-1,1582.6,2.0,118.0,-0.134224537037,2.0,0.139108796296,28.6719560185
156.0,0.0,275.0,3.0,16.4,0.04,1.21,74485.23,1.39,22,54.0,124.0,2.8,-2,0,355.8,2.2,0.33,1.27545138889,1.0,0.434375,19.9510648148
1153.0,0.0,2241.0,2.12,36.94,0.41,1.14,140581.54,1.64,22,641.0,46.0,476.5,-4,0,859.59,2.12,0.0,21.8130555556,5.0,4.90396990741,25.5292824074
607.0,0.0,1347.0,2.32,29.44,0.58,1.84,1097065.32,17.29,40,89.0,199.0,4.31,-4,-3,654.84,1.72,23.4,3.01509259259,9.0,0.666342592593,4.34703703704
46.0,0.0,252.0,5.0,71.0,0.24,1.77,13748.24,3.89,22,1.0,95.0,38.65,-2,-1,2284.0,9.0,65.33,24.722662037,1.0,1.09353009259,1.5600462963
1522.0,113.0,3376.0,3.03,23.69,0.55,1.83,17267.09,3.13,49,733.0,199.0,88.63,-3,-1,949.79,2.86,65.42,7.23017361111,12.0,0.536724537037,4.37795138889
15.0,20.0,143.0,8.5,35.5,0.05,1.33,96170.05,1.31,16,39.0,34.0,7.87,-2,0,2324.0,4.5,96.5,46.9954976852,2.0,1.52925925926,2.51851851852
131.0,0.0,678.0,3.75,49.75,0.13,1.16,3565445.26,10.92,40,71.0,90.0,0.69,-4,-2,1656.0,3.25,185.67,3.65127314815,2.0,0.0345486111111,0.624328703704
38.0,27.0,284.0,5.5,23.75,0.14,1.25,1223.81,1.37,23,66.0,58.0,21.1,-3,-1,1342.0,4.0,2.0,0.588043981481,4.0,1.35158564815,5.28697916667
243.0,0.0,74.0,2.0,7.0,0.12,0.92,37.19,1.41,66,6.0,0.0,0.78,-3,-3,108.33,1.33,11.53,0.48619212963,8.0,1.89200231481,2.34362268519
10.0,0.0,193.0,3.0,14.0,0.16,1.77,477.51,1.35,11,2.0,0.0,2.79,-2,0,394.0,3.0,0.0,1.25568287037,1.0,2.63821759259,5.43258101852
1299.0,449.0,2408.0,2.06,49.06,0.19,1.71,44440.35,1.76,49,222.0,212.0,11.68,-4,-3,1190.53,2.24,0.0,-10.4177893519,7.0,12.3894328704,3.8125
98.0,34.0,1706.0,1.67,45.67,0.47,1.91,32782.33,13.99,11,174.0,50.0,4.42,-2,-2,824.33,1.67,0.0,0.834282407407,2.0,0.0,0.451180555556
444.0,8.0,664.0,7.0,186.0,0.23,1.77,368865.09,4.95,10,0.0,44.0,43.45,-2,-2,6742.0,6.0,35.0,20.173275463,2.0,5.8912962963,40.3960763889
75.0,0.0,237.0,4.0,27.0,0.28,0.97,10883.96,1.45,20,5.0,14.0,25.01,-2,-2,993.0,5.0,105.5,60.6843634259,2.0,0.0524884259259,3.62059027778
