Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
90.0,0.0,18.0,2.0,4.0,0.25,1.64,0.0,1.16,14,2.0,0.0,20.24,-4,0,94.5,1.0,35.0,0.0758217592593,1.0,0.292777777778,13.3799189815
325.0,0.0,3104.0,3.14,66.43,0.24,1.21,159843.15,11.04,38,371.0,144.0,13.52,-4,-2,1330.14,3.57,49.5,5.65181712963,3.0,0.876527777778,0.226180555556
285.0,0.0,1436.0,2.13,128.94,0.17,1.8,49397.74,3.29,21,194.0,53.0,0.05,-4,-4,1427.69,2.25,2.33,0.132094907407,1.0,0.578738425926,26.7006365741
134.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,65.64,-2,0,0.0,0.0,0.0,0.0,3.0,0.179444444444,10.7853472222
32.0,0.0,152.0,3.0,76.0,0.17,1.64,38201.1,3.49,50,31.0,38.0,0.13,-4,-4,1691.0,4.0,9.5,6.33209490741,2.0,1.39883101852,21.5281712963
12.0,17.0,537.0,4.0,297.0,0.17,1.69,67198.07,4.19,18,27.0,67.0,66.13,-4,-1,11748.0,4.0,13.0,-0.547314814815,1.0,2.02400462963,2.38799768519
12.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7.0,11.0,0.19,-4,-2,0.0,0.0,0.0,1.14885416667,1.0,0.00157407407407,5.70263888889
16.0,0.0,20.0,4.0,55.0,0.13,1.92,3524.22,1.46,27,2.0,0.0,9.46,-4,-2,1151.0,5.0,0.0,0.478506944444,1.0,0.0128587962963,4.86678240741
46.0,16.0,38.0,3.0,7.0,0.14,1.77,5131.72,1.77,20,11.0,0.0,28.21,-3,-2,152.0,2.0,0.0,17.2400925926,2.0,1.96621527778,14.2343055556
15.0,0.0,53.0,10.0,19.0,0.14,1.61,115.05,1.26,71,0.0,0.0,22.0,-3,0,1424.0,2.0,4.75,5.42958333333,1.0,7.92782407407,1.89141203704
