Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
239.0,0.0,35.0,0.0,0.0,0.0,1.79,3727.49,1.46,17,1.0,1.0,11.43,-3,-2,0.0,0.0,8.0,24.4937731481,1.0,0.671030092593,24.243275463
222.0,0.0,953.0,2.2,52.6,0.16,1.88,105202.19,2.56,26,35.0,21.0,19.17,-3,-1,1582.6,2.0,118.0,-0.134224537037,2.0,0.139108796296,28.6719560185
292.0,0.0,110.0,2.86,14.43,0.46,1.89,340837.34,3.96,73,86.0,0.0,10.47,-4,-4,336.71,2.14,58.75,-104.111493056,2.0,0.117650462963,6.85861111111
120.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.76,-3,-3,0.0,0.0,31.75,0.477210648148,3.0,1.6562962963,0.404849537037
296.0,185.0,32.0,2.0,126.0,0.05,1.83,747888.72,3.56,30,4.0,14.0,225.79,-2,-2,2497.0,4.0,97.0,0.015787037037,1.0,8.7899537037,5.42122685185
161.0,0.0,14.0,0.0,0.0,0.0,0.47,0.0,1.29,26,14.0,0.0,1.08,-3,-3,0.0,0.0,12.0,2.83153935185,1.0,0.101296296296,21.6454976852
90.0,74.0,150.0,4.0,10.0,0.5,1.88,25846.34,1.45,32,34.0,0.0,3.84,-3,-3,332.5,2.25,28.25,1.26508101852,1.0,0.165625,12.5260763889
27.0,0.0,58.0,2.0,46.0,0.18,1.19,102119.01,5.12,10,0.0,37.0,16.72,-3,-3,529.0,2.0,9.5,-0.309178240741,1.0,0.772638888889,33.7546064815
307.0,0.0,157.0,3.0,17.0,0.05,1.45,7843.55,1.47,20,16.0,89.0,31.51,-3,0,336.2,2.0,8.0,-0.32287037037,3.0,0.648090277778,3.16199074074
66.0,0.0,44.0,4.0,72.0,0.18,1.91,94691.13,3.13,16,0.0,9.0,0.18,-2,0,1777.0,4.0,0.0,1.38086805556,1.0,0.0393055555556,6.42876157407
157.0,0.0,6713.0,3.0,213.0,0.17,1.57,1105900.97,24.88,38,327.0,0.0,0.22,-3,0,4220.0,3.86,39.0,6.8371412037,1.0,0.344791666667,20.6476273148
75.0,0.0,28.0,1.67,37.33,0.14,1.91,16988.49,1.64,30,0.0,3.0,2.1,-3,0,513.67,2.0,0.0,1.49265046296,1.0,0.0431134259259,3.74056712963
607.0,0.0,1347.0,2.32,29.44,0.58,1.84,1097065.32,17.29,40,89.0,199.0,4.31,-4,-3,654.84,1.72,23.4,3.01509259259,9.0,0.666342592593,4.34703703704
424.0,0.0,91.0,2.33,73.67,0.89,1.16,1044340.11,2.28,24,60.0,1.0,56.76,-3,-3,2327.0,2.0,7.5,7.5762037037,1.0,-0.0594212962963,19.2933217593
379.0,0.0,1667.0,3.44,706.89,0.21,1.92,135316.55,4.57,40,154.0,107.0,209.06,-3,-1,3807.67,4.0,59.33,11.8094097222,3.0,0.0449652777778,2.61032407407
343.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,29,228.0,46.0,18.73,-4,0,0.0,0.0,98.25,-1.36577546296,2.0,0.168229166667,6.13997685185
154.0,43.0,253.0,2.0,9.0,0.1,1.28,162344.27,1.7,12,8.0,0.0,1.56,-3,-3,151.0,2.0,0.0,-13.280775463,2.0,0.335104166667,6.09856481481
546.0,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6.0,8.0,1.58,-2,-2,0.0,0.0,12.67,34.9047337963,4.0,0.211226851852,11.9753009259
15.0,20.0,143.0,8.5,35.5,0.05,1.33,96170.05,1.31,16,39.0,34.0,7.87,-2,0,2324.0,4.5,96.5,46.9954976852,2.0,1.52925925926,2.51851851852
1077.0,7.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,41,633.0,15.0,1.01,-3,-3,0.0,0.0,7.18,2.13734953704,12.0,0.903784722222,22.4604166667
158.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,16,26.0,0.0,1.0,-4,-3,0.0,0.0,129.0,0.326458333333,1.0,0.691331018519,12.4372222222
303.0,0.0,975.0,2.43,40.14,0.21,1.83,10546.76,1.64,43,46.0,0.0,48.62,-3,-3,891.57,2.57,26.0,2.26690972222,2.0,9.68861111111,1.30689814815
578.0,0.0,78.0,5.0,33.0,0.17,1.87,27770.83,4.09,31,50.0,16.0,8.87,-3,-3,969.0,5.0,23.0,-13.1896643519,2.0,0.0523148148148,14.7025925926
257.0,0.0,114.0,2.0,9.33,0.19,1.77,2113867.28,3.15,42,70.0,0.0,4.88,-4,0,242.67,2.0,0.44,0.835717592593,4.0,5.62527777778,0.0348842592593
98.0,0.0,1311.0,2.33,26.33,0.43,1.32,696590.76,5.61,7,61.0,0.0,19.77,-3,0,899.33,2.67,72.0,0.329363425926,2.0,0.0,0.480428240741
26.0,15.0,37.0,6.5,22.5,0.16,1.87,37901.62,1.51,10,10.0,0.0,0.8,-3,-3,745.0,4.0,16.0,0.234664351852,1.0,0.574895833333,26.5368402778
