uplift_id,regression_id,reproducible,how_found
1116056,1204580,reproducible,found by fuzzing
1116056,1186149,reproducible,found by user (a Firefox developer) on a widespread website
1116056,1149278,reproducible,found by user (a Firefox developer) on a rare website
1116056,1271847,INVALID,
1108035,1123966,reproducible,found by user (a volunteer) on a widely used feature
1220037,1223520,reproducible,found by fuzzing
1196882,1269055,INVALID,
1146201,1288976,reproducible,found by developer
1146201,1268984,INVALID,
1146201,1278198,INVALID,
1146201,1207439,INVALID,
1111788,1173634,INVALID,
1171629,1186149,reproducible,found by user (a Firefox developer) on a widespread website
1120017,1162381,INVALID,
1175104,1179051,INVALID,
1124031,1237842,unknown,found via crash reports
1232069,1253471,reproducible,found by user (a website developer)
1064481,1074963,INVALID,
1232268,1239066,INVALID,
1132468,1176551,reproducible,found by user (a volunteer) on a rarely used feature
1112972,1200413,INVALID,
1112972,1151309,reproducible,found by user (a website developer)
1131638,1161416,INVALID,
1131638,1145101,reproducible,found by user (a Firefox developer) on a widespread website
1131638,1143575,INVALID,
1170211,1197296,INVALID,
1159973,1195578,reproducible,found by fuzzing
1177505,1216096,reproducible,found by user (a volunteer) on a widely used feature
1123245,1146873,INVALID,
1244500,1265173,not reproducible (except by reporter),found by user (a end user) on a rare configuration
1125848,1180688,reproducible (but not by everyone),found by user (a Firefox developer) on a rare configuration
1125848,1153939,not reproducible,found via crash reports
1167248,1236619,INVALID,NOT A USER FACING REGRESSION
1277882,1279608,INVALID,
1146874,1256992,not reproducible,found via crash reports
1258768,1265282,INVALID,
1258768,1270075,INVALID,
1079729,1155059,INVALID,
1151495,1200004,reproducible,found by external security researcher
1212328,1277267,INVALID,
1212328,1290422,INVALID,
1121332,1289942,reproducible,found by developer by running spec compliance tests
1267980,1276930,not reproducible,found via crash reports
1249578,1285867,INVALID,
1063733,1069369,INVALID,
1063733,1078211,reproducible,found by developer using Valgrind
1141931,1230408,reproducible,found by fuzzing
1141931,1181890,reproducible,found by user (a Firefox developer) on a widespread website
1141931,1274443,INVALID,
1141931,1229437,reproducible,found by fuzzing
1141931,1156222,reproducible,found by fuzzing
1126164,1159273,INVALID,
1131433,1142336,INVALID,
1131433,1195073,INVALID,
1131433,1182287,INVALID,
1131433,1186257,INVALID,
1131433,1175058,INVALID,
1131433,1194197,INVALID,
1131433,1163227,INVALID,
1131433,1154782,INVALID,
1138253,1143575,INVALID,
1093316,1174450,INVALID,
1066726,1123920,reproducible,found by user (a website developer)
1138391,1207571,reproducible,found by fuzzing
1102538,1243754,INVALID,
1102538,1138391,INVALID,
1102538,1249493,INVALID,
1102538,1148661,INVALID,
1102538,1115847,INVALID,
1105066,1143575,INVALID,
1180101,1244523,reproducible,found by user (a end-user) on a widely used feature
1182411,1284939,INVALID,
1182411,1222662,INVALID,WRONG REGRESSOR
1182411,1257759,reproducible,found by developer (code inspection?)
1127203,1182287,INVALID,WRONG REGRESSOR
1147857,1153056,reproducible,found by user (a Firefox developer) on a not widely used feature
1085266,1124880,not reproducible,found via crash reports
1257242,1275040,INVALID,NOT A REGRESSION
1257242,1275039,INVALID,NOT A REGRESSION
1073345,1173195,reproducible,found by developer (code inspection?)
