uplift_id,regression_id,reproducible,how_found
1175104,1179051,INVALID,
1132468,1176551,reproducible,found by user (a volunteer) on a rarely used feature
1151309,1180105,INVALID,
1159973,1195578,reproducible,found by fuzzing
1151495,1200004,reproducible,found by external security researcher
1147857,1153056,reproducible,found by user (a Firefox developer) on a not widely used feature
1133119,1224976,INVALID,
1185115,1216748,reproducible,found by a developer (from the changeset history of a library Firefox uses)
1205083,1273691,INVALID,
1205083,1257028,INVALID,
1149605,1275853,reproducible,found by user (a end-user) on a rare website
1147728,1192058,reproducible,found by external security researcher
1063048,1137716,reproducible (but not by everyone),found via crash reports
1151821,1161642,reproducible,found by user (a website developer)
1198435,1266926,reproducible,found by external security researcher
1083079,1130681,INVALID,
1044975,1251894,not reproducible (except by reporter),found by user (a Firefox developer) on a widespread website
1044975,1087270,INVALID,
1205456,1209843,not reproducible,found via crash reports
1151361,1179051,INVALID,
1141081,1235573,INVALID,
