uplift_id,why
1044975,
1054959,
1062256,partially fixed
1063052,
1068189,
1069300,other
1072100,
1073607,
1074272,
1083071,partially fixed^regressions
1085203,INVALID
1088247,
1101122,
1101147,
1101669,
1101670,
1105045,
1107666,other
1111947,
1116812,
1120149,INVALID
1122322,regressions
1123498,
1123535,regressions^test failure
1123983,
1128027,
1128069,
1128454,diagnostics
1130231,
1131433,
1133633,diagnostics
1134064,
1134501,
1137470,other
1144055,
1146663,
1149377,
1150297,other
1151804,
1155608,
1156131,
1156182,
1158761,
1160890,
1162662,
1162860,
1162863,
1163814,
1166031,
1166886,
1170143,partially fixed
1170809,
1175783,
1181130,
1181735,
1182197,
1185115,partially fixed
1189030,
1192505,INVALID
1198107,
1200021,
1200698,
1201796,
1202421,
1207665,
1211360,
1211849,
1217156,
1218799,
1220010,
1220033,
1221855,
1222617,
1224433,
1225645,
1226487,
1227024,
1234054,other
1234280,regressions
1236754,
1240985,partially fixed
1242176,
1243549,
1243607,
1244650,
1246854,
1246956,regressions
1247327,
1247977,diagnostics
1248948,
1249849,
1257234,
1258317,
1258375,
1260908,
1262661,partially fixed
1264694,
1265815,
1266440,
1266889,regressions^test failure
1268559,partially fixed
1268922,
1270664,
1274096,
1274516,
1285052,
1290086,
1290365,
