issue_id,uplift_reason
1205456,crash
1198435,security
1063048,crash
1160295,crash
1185639,hang
1147857,crash
1141081,security+crash
1133119,crash
1083079,rendering
1044975,crash
1205083,crash
1151821,rendering
1120673,crash
1149842,hang
1209464,hang
1160076,func
1233434,func
1123732,crash
1154703,crash
1222171,crash
1178058,security
1113121,crash
1157766,func
1151721,func
1187613,compile
1158627,crash
1278605,crash
1209124,crash
1178601,crash
1162198,func
1104748,func
1143878,func
1129287,func
1258354,crash
1136616,func
1117140,security
1144988,security
1290469,crash
1088729,security
1140890,func
1137716,crash
1151628,func
1137050,crash
1081157,func
1167096,func
1148328,security
1111330,compile
1149761,crash
1258562,crash
1138740,func
1166771,func
1292721,feature
1130061,crash
1207665,crash
1139831,func
1126918,crash
1141642,compile
1104823,func
1137580,crash
1255605,func
1103375,crash
1046645,func
1162205,func
1212669,security
1155518,feature
1254856,func
1244076,crash
1145870,security
1156058,crash
1075640,crash
1116812,crash
1265815,crash
1246956,security
1295296,func
1241100,security
1254694,corrupt
1176073,crash
1165732,perf
1165135,func
1277522,func
1089413,crash
1259842,func
1058131,crash
1240607,crash
1087565,security
1144257,crash
1082051,feature
1158343,func
1144199,func
1151506,crash
1153403,func
1185115,crash+security
1154683,security
1149605,security
1151309,perf+rendering
1159973,crash+security
1254980,func
1236975,compat
1159300,func
1156560,perf+func
1257861,func+compat
1058812,compat
1243942,func+compat
1100501,test
1075620,perf
1115227,feature
1233970,compat
1159495,compat+func
1203577,feature
1158568,crash+security
1127925,leak+perf
1194733,func+compat
1244069,compile
1163651,feature
1134606,func
1255731,func
1062479,test
1189593,func+compat
1164419,func
1259482,func+compat
1137251,leak
1145844,compat
1162412,func+compat
1255139,func+compat
1162251,func+compat
1189709,func+compat
1093694,crash+func+perf
1063971,compat
1152016,func
1240559,addons_compat+func
1276110,compile
1155608,func+compat
1160663,feature
1255735,func
1161810,feature
1218157,perf+func
1157784,rendering
1153381,rendering
1164766,crash+security
1265928,feature
1276920,hang
1149864,func+crash
1206376,func+corrupt
1181130,func+compat
1080319,func+feature
1083071,rendering
1291078,func+compat
1108971,func+compat
1244505,func+compat
1240892,feature+func
1152354,func
1159814,other
1262312,perf+func
1042889,func+compat
