Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Evaluation of risks
1269325,1271847,func,,low
1082178,1162218,func,,low
1173634,1185392,hang,,low
1206211,1216748,security^crash,,very low
1108035,1123966,feature,,?
1225003,1230692,crash,,very low
1059797,1239789,hang^test,,medium
1167248,1236619,crash,,?
1120023,1296453,perf,,low
1151495,1200004,crash,,low
1253379,1263028,func,,low
1113062,1125940,leak^crash,,very low
1199224,1224994,func,,medium^low
1216658,1272332,func^compat,,low
1160295,1195844,crash,,?
1102642,1195073^1175058^1259916^1186257,crash,,medium
1219330,1293772,crash^security,,low
1257242,1275040^1275039,feature,,medium
1072044,1172785^1136871,crash^security,,low
1249312,1249659,rendering,,low
1065909,1147497^1125503,security,,low
1081911,1153724,crash,,low
1211000,1243453,security,,very low
1107684,1174486^1147215,func,,very low
1200021,1230740,crash,,?
1163239,1183433,crash,,low
1129369,1197943,security,,medium-low
1139271,1148203^1149278^1271847,perf,,low
1089833,1177013,leak,,low
1141081,1235573,security^crash,,low
1051822,1201051^1212349,test,,low
1112410,1122586,func,,low
1182411,1284939^1222662^1257759,security,,medium
1063848,1065880,func,,very low
1085266,1124880,crash,,low
1128769,1209751,func,,low
1271847,1278005,func^compat,,none
1063733,1069369^1067018^1078211,security,,low
1131638,1161416^1145101^1143575,rendering,,very low
1085175,1138072^1096721,security,,very low
1212499,1253386,rendering,,low
1232268,1239066,func^feature,,low
1150277,1268984,func^security,,very low
1203616,1276483,func^compat,,none
1126723,1136827,perf,,low
1234422,1237582^1257759,perf^func,,very low
1196696,1267637,crash,,very low
1196398,1229339^1253471,func^crash,,low
1054972,1070955^1062612,perf,,medium
1187067,1264622,crash^security,,none
1205456,1209843,crash,,very low
1055904,1134064^1133625,perf,,medium
1151361,1179051,crash,,very low
1123498,1269408,perf,,medium
1064481,1074963,func^compat,,none
1108838,1147226^1116676^1240478,compat^func^test,,medium
1180101,1244523,func,,low
1073345,1173195,crash^security,,very low
1073825,1240025,crash,,medium-low
1170211,1197296,crash,,low
1060114,1138934,rendering,,?
1121692,1143575^1129247,rendering,,medium
1126465,1128576^1129877^1129247,rendering,,medium
1120629,1126088,rendering,,medium
1160321,1208349,func,,low
1147521,1153145^1155241,func,,medium-low
1093316,1174450,compat,,low
1172226,1215694,security,,low
1268569,1276869,hang,,low
1243538,1266013,func^rendering,,low
1213646,1269254,addon_compat,,very low
1233819,1283594,func,,low
1120128,1171094,func^rendering,,low
1127213,1136360^1143968^1136107^1133190,crash,,?
1200059,1207439,crash,,low
1123452,1283724,perf,,medium
1219134,1236746^1239066,rendering^func,,low
1135408,1144900^1279063,feature,,very low
1102538,1155618^1115847^1243754^1148661^1138391^1249493,refact,,very low
1079729,1155059,crash^security,,medium-low
1138253,1143575,func,,?
1121876,1123269,crash,,low
1290365,1293206,func,,very low
1125503,1147497,crash^security,,low
1208043,1224994,func^compat,,medium
1194817,1198730,func,,very low
1183433,1185392,other,,very low
1173725,1186886,improve,,medium
1194576,1221825,feature,,low
1062920,1162218,func,,low
1146201,1288976^1268984^1278198^1207439,func,,very low
1092842,1226904,rendering^compat,,low
1111160,1173634^1133583,feature,,?
1167883,1274922,func^compat,,low
1121332,1289942,feature,,?
1185820,1251697,crash^security,,low
1193387,1200656^1200187,feature,,low
1060738,1181896^1103188^1154389^1224766^1213517,func^hang,,low
1175783,1183433,other,,very low
1074765,1074765,func^security,,low
1259042,1263572,crash^security,,low
1061327,1088984^1091296,perf,,low
1062876,1181896^1257950,security^func,,low
1112972,1200413^1151309,perf^rendering,,very low
1141931,1230408^1181890^1274443^1229437^1156222,func,,none
1137614,1159840,crash,,low
1148071,1183433^1163239,func,,low
1124031,1237842,feature,,?
1223193,1239504,crash,,low
1111971,1171716^1164567,crash^security,,none
1089364,1147728^1104008^1135271,crash^rendering,,very low
1244523,1251184^1254731,feature,,low
1264187,1272160,crash,,low
1170143,1179051,crash,,low
1175104,1179051,crash,,low
1143299,1153695,crash^security,,low
1232069,1253471,security,,very low
1212328,1277267^1290422,crash^security,,low
1240985,1240985^1257314,crash,,very low
1064320,1191936^1200341,security^crash,,low
1267980,1276930,hang,,very low
1177505,1216096,func,,none
1257234,1259699,func^compat,,low
1123535,1161416^1173657,perf^crash,,medium
1132468,1176551,security,,low
1105194,1227136,security^crash,,medium
1190257,1256547,rendering,,low
1075199,1137489^1160914,feature,,?
1262731,1264403,crash,,low
1146874,1256992,crash,,medium-low
1119033,1125776,crash,,low
1119803,1121148,test,,very low
1185115,1216748,security^crash,,very low
1154599,,compile,,none
1174971,,security,,low
1127122,,crash,,low
1245476,,feature,,very low
1280644,,other,,low
1275591,,feature,,medium
1101122,,perf^improve,,?
1290343,,func,,low
1132358,,crash^security,,none
1265815,,rendering^func,,very low
1259482,,func^compat,,?
1146101,,security,,low
1201874,,rendering,,low
1141031,,func,,medium-low
1181097,,crash,,low
1170913,,compile,,low
1091709,,func,,low
1254122,,crash^security,,medium-low
1178601,,crash,,none
1280965,,func,,low
1285928,,func,,low
1149230,,improve,,none
1236058,,func,,very low
1254980,,func,,low
1186687,,improve,,very low
1099345,,compile,,none
1085509,,other,,low
1260944,,func,,low
1217170,,feature^compat,,medium
1225970,,crash^security,,low
1164942,,perf,,low
1245074,,feature,,medium
1205109,,func^compat,,low
1233152,,crash^security,,low
1185653,,func^compat,,low
1168481,,feature,,none
1248580,,crash^security,,low
1257870,,compile,,low
1232229,,crash,,low
1238753,,rendering,,low
1238440,,crash^security,,none
1131370,,crash,,very low
1198547,,improve,,low
1273701,,crash^security,,low
1248049,,perf^hang,,very low
1148286,,crash,,low
1086936,,other,,none
1208665,,security,,low
1244330,,crash,,very low
1095575,,feature,,very low
1089000,,func,,very low
1256500,,crash,,low
1084513,,crash,,none
1154923,,crash^security,,?
1198724,,func,,low
1142455,,perf,,very low
1244250,,crash^security,,very low
1266142,,improve,,none
1111771,,func,,?
1287476,,func,,low
1234170,,crash,,none
1285409,,improve^compat,,low
1180417,,hang^perf,,none
1147919,,compat,,very low
1277156,,crash,,low
1221855,,crash,,very low
1061712,,crash,,low
1105045,,security,,very low
1144991,,security,,very low
1188822,,func^compat,,very low
1272652,,func,,medium
1243843,,crash^security,,low
1290749,,crash^hang,,very low
1056251,,func,,low
1149649,,improve,,low
1254025,,func^addon_compat,,low
1225044,,rendering,,very low
1196437,,func,,very low
1173730,,improve,,low
1198302,,hang,,low
1263439,,func,,very low
1238592,,crash^security,,low
1189702,,func,,low
1053565,,compile,,none
