Uplift ID,Fault IDs,Reason for uplift,Reason for fault,Evaluation of risks
1205456,1209843,crash,CtrlFlow,very low
1198435,1266926,security,dangling,very low
1063048,1137716,crash,driver,very low
1160295,1195844,crash,driver,?
1185115,1216748,crash^security,overflow,very low
1185639,1189709,hang,plugin^CtrlFlow,low
1154683,1158568,security,overflow,low
1147857,1153056,crash,CtrlFlow^CornerC,low
1149605,1275853,security,CornerC^CtrlFlow,low
1141081,1235573,crash^security,plugin^CtrlFlow,low
1151309,1180105,perf^feature,MLK,medium-low
1133119,1224976,crash,CtrlFlow,?
1083079,1130681,rendering,CtrlFlow,low
1044975,1087270^1251894,crash,CornerC^CtrlFlow,low
1205083,1273691^1257028,crash,driver^CtrlFlow,medium-high
1159973,1195578,crash^security,CtrlFlow,low
1151821,1161642,rendering,CtrlFlow,low
1120673,,crash,,very low
1149842,,hang,,low
1209464,,hang,,low
1254980,,feature,,low
1236975,,feature^compat,,very low
1160076,,func,,low
1159300,,func,,very low
1233434,,func,,low
1156560,,func^perf,,low
1123732,,crash,,none
1154703,,crash,,low
1257861,,compat^func,,low
1222171,,crash,,very low
1058812,,func^compat,,low
1178058,,security,,medium-low
1113121,,crash,,very low
1243942,,func^compat,,low
1157766,,func,,very low
1100501,,test,,low
1075620,,perf,,low
1151721,,func,,low
1187613,,compile,,none
1115227,,feature,,low
1158627,,crash,,low
1278605,,crash,,low
1233970,,func^compat,,low
1159495,,compat^func,,low
1209124,,crash,,low
1178601,,crash,,none
1203577,,feature,,low
1162198,,func,,Zero
1158568,,crash^security,,low
1127925,,leak^perf,,very low
1194733,,func^compat,,low
1244069,,compile,,?
1104748,,func,,?
1143878,,func,,very low
1129287,,func,,low
1163651,,feature,,?
1258354,,crash,,low
1134606,,func,,?
1255731,,crash^security,,very-low
1136616,,func,,low
1117140,,security,,medium
1144988,,security,,medium
1062479,,test,,very low
1290469,,crash,,low
1088729,,security,,low
1140890,,func,,low
1137716,,crash,,medium
1189593,,func^compat,,very low
1151628,,func,,very low
1137050,,crash,,low
1164419,,feature,,?
1081157,,func,,low
1259482,,func^compat,,low
1137251,,leak^perf,,low
1167096,,func,,medium-low
1145844,,func^compat,,very low
1162412,,func^compat,,low
1255139,,func^compat,,very low
1162251,,func^compat,,very low
1148328,,security,,none
1189709,,func^compat,,low
1093694,,func^crash^perf,,very low
1063971,,func^compat,,low
1111330,,compile,,none
1152016,,func,,very low
1149761,,crash,,?
1258562,,crash,,none
1240559,,func^compat,,very low
1276110,,,,low
1138740,,func,,very low
1166771,,func,,low
1155608,,func^compat,,very low
1160663,,feature,,low
1292721,,feature,,?
1130061,,crash,,medium-low
1255735,,func,,none
1207665,,crash,,none
1161810,,func,,low
1218157,,perf^func,,low
1139831,,func,,low
1126918,,crash,,low
1157784,,rendering,,medium
1141642,,compile,,low
1104823,,func,,very low
1137580,,crash,,medium
1255605,,func,,medium
1103375,,crash,,low
1153381,,rendering,,very low
1164766,,crash^security,,low
1046645,,func,,low
1265928,,ui,,very low
1162205,,func,,low
1212669,,security,,medium
1155518,,feature,,?
1254856,,func,,medium
1276920,,hang,,low
1244076,,crash,,very low
1149864,,func^crash,,very low
1145870,,security,,?
1156058,,crash,,low
1075640,,crash,,very low
1206376,,func,,low
1116812,,crash,,low
1181130,,func^compat,,?
1265815,,crash,,very low
1246956,,security,,low
1080319,,func,,low
1083071,,rendering,,low
1295296,,func,,very low
1241100,,security,,low
1254694,,corrupt,,very low
1176073,,crash,,none
1291078,,func^compat,,medium
1165732,,perf,,low
1165135,,func,,very low
1108971,,func^compat,,none
1244505,,func^compat,,very low
1277522,,func,,none
1089413,,crash,,very low
1259842,,func,,very low
1240892,,func,,very low
1058131,,crash,,very low
1152354,,func,,low
1240607,,crash,,low
1087565,,security,,medium-low
1144257,,crash,,very low
1159814,,func,,very low
1082051,,feature,,low
1158343,,func,,very low
1144199,,func,,low
1262312,,func,,low
1042889,,compat^func,,very low
1151506,,crash,,low
1153403,,func,,very low
