,bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
0,1044233,2,-2,1,2,-2,0,0
1,1042098,2,-2,0,0,0,0,0
2,1045886,3,-4,-1,3,-3,2,-2
3,1042092,2,-3,-4,0,0,0,0
4,1043900,2,-3,0,0,0,0,0
5,1042090,3,-2,-2,0,0,0,0
6,1042096,3,-2,-2,0,0,0,0
7,1044975,3,-3,-4,2,-2,2,-2
8,1041822,3,-2,7,0,0,0,0
9,1045289,2,-2,-2,0,0,0,0
10,1041820,1,-1,0,1,-1,0,0
11,1045984,1,-1,0,0,0,0,0
12,1042068,3,-2,2,2,-2,3,-2
13,1044041,3,-1,2,3,-1,0,0
14,1043627,3,-2,1,3,-2,0,0
15,1042489,1,-2,-2,0,0,0,0
16,1041951,3,-3,13,2,-3,0,0
17,1041950,1,-3,-8,0,0,0,0
18,1042482,1,-1,0,0,0,0,0
19,1045081,2,-1,1,2,-1,0,0
20,1042244,3,-3,-5,0,0,0,0
21,1042710,2,-2,0,0,0,0,0
22,1045084,3,-2,-3,3,-2,1,-1
23,1042712,2,-2,2,0,0,0,0
24,1045754,2,-3,-2,2,-2,0,0
25,1045756,2,-2,-4,2,-2,0,0
26,1045751,4,-2,9,0,0,1,-1
27,1046004,2,-2,-4,1,-1,1,-2
28,1046005,2,-3,1,0,0,0,0
29,1046006,1,-1,0,0,0,0,0
30,1046003,3,-2,1,1,-2,2,-1
31,1043301,2,-2,2,0,0,1,-1
32,1042946,2,-3,-1,0,0,0,0
33,1042396,2,-2,0,2,-2,0,0
34,1042398,3,-4,0,3,-4,0,0
35,1044658,3,-4,-11,0,0,0,0
36,1044305,1,-1,0,1,-1,0,0
37,1043281,1,-1,0,0,0,0,0
38,1045181,1,-4,-4,0,0,0,0
39,1042432,2,-3,-1,2,-3,2,-1
40,1043285,1,-3,-4,1,-3,0,0
41,1042436,3,-4,-3,3,-4,0,0
42,1043289,1,-2,-3,1,-2,0,0
43,1043534,3,-2,2,0,0,0,0
44,1043531,3,-3,-6,3,-2,0,0
45,1045018,2,-2,2,2,-1,0,0
46,1046139,1,-1,0,0,0,0,0
47,1043888,1,-2,-2,0,0,0,0
48,1045978,3,-2,1,1,-1,0,0
49,1045971,2,-1,1,0,0,0,0
50,1044408,3,-4,0,3,-4,0,0
51,1045975,2,-2,-1,2,-1,0,0
52,1045977,3,-4,0,0,0,1,-1
53,1045333,1,-1,0,0,0,0,0
54,1045239,3,-3,3,0,0,0,0
55,1045232,2,-3,-2,0,0,0,0
56,1045231,3,-4,-1,1,-1,0,0
57,1046183,2,-2,-1,1,-1,0,0
58,1044714,2,-2,1,0,0,0,0
59,1044498,3,-3,-8,0,0,0,0
60,1046222,1,-3,-3,1,-3,0,0
61,1044497,3,-4,-8,1,-1,0,0
62,1044490,3,-3,0,3,-3,1,-2
63,1042508,3,-3,1,2,-2,2,-2
64,1042504,3,-3,-1,1,-1,1,-2
65,1042054,2,-2,0,0,0,1,-1
66,1042052,2,-2,0,0,0,0,0
67,1045526,2,-1,2,0,0,0,0
68,1043524,2,-3,-2,2,-3,0,0
69,1045524,3,-4,2,3,-4,0,0
70,1044577,3,-3,10,0,0,0,0
71,1044478,2,-1,1,2,-1,0,0
72,1045247,2,-2,0,0,0,0,0
73,1045241,2,-2,0,0,0,0,0
74,1042204,2,-2,3,0,0,1,-1
75,1042208,3,-2,2,3,-2,0,0
76,1043372,3,-4,6,2,-3,0,0
77,1042619,2,-3,0,0,0,0,0
78,1043936,1,-1,0,0,0,0,0
79,1043934,1,-1,0,0,0,0,0
80,1046049,3,-3,1,0,0,0,0
81,1043835,1,-2,-1,0,0,0,0
82,1045413,2,-2,-1,2,-2,0,0
83,1045792,3,-3,1,0,0,0,0
84,1042295,2,-2,-2,0,0,0,0
85,1042291,3,-4,-4,1,-1,3,-2
86,1043577,2,-3,-3,0,0,0,0
87,1043470,2,-2,1,0,0,0,0
88,1043578,1,-1,0,1,-1,0,0
89,1042479,2,-2,3,1,-1,1,-1
90,1042379,2,-3,-7,0,0,0,0
91,1042373,2,-3,-3,1,-3,0,0
92,1045118,3,-3,0,0,0,0,0
93,1045660,3,-3,-3,0,0,0,0
94,1042689,3,-2,1,0,0,0,0
95,1042687,3,-3,-1,0,0,0,0
96,1042685,3,-2,1,1,-2,0,0
97,1043843,2,-2,-2,0,0,0,0
98,1042680,4,-3,2,3,-2,0,0
99,1045985,3,-4,-11,3,-4,1,-1
100,1043274,2,-2,1,0,0,0,0
101,1045468,3,-3,3,0,0,0,0
102,1044355,2,-2,3,0,0,1,-1
103,1043799,1,-1,0,1,-1,0,0
104,1044351,3,-3,-11,3,-3,0,0
105,1043797,3,-4,21,0,0,0,0
106,1044051,2,-3,-1,0,0,0,0
107,1044050,3,-3,14,0,0,0,0
108,1043154,3,-2,1,0,0,0,0
109,1043013,2,-1,4,0,0,0,0
110,1043402,3,-3,0,3,-2,0,0
111,1042873,3,-2,2,1,-1,1,-1
112,1042876,3,-2,4,0,0,1,-1
113,1042878,3,-2,4,3,-2,0,0
114,1042974,3,-2,1,0,0,0,0
115,1043683,3,-2,4,0,0,0,0
116,1046140,2,-3,-3,2,-3,0,0
117,1043081,3,-3,-1,0,0,0,0
118,1046142,2,-2,1,2,-2,0,0
119,1045630,1,-2,-1,0,0,1,-1
120,1043084,1,-3,-2,1,-1,0,0
121,1043088,2,-2,-4,2,-2,0,0
122,1046267,2,-2,0,0,0,0,0
123,1045809,3,-3,-16,0,0,0,0
124,1044530,2,-4,-13,1,-2,0,0
125,1045110,2,-2,0,1,-1,0,0
126,1045801,3,-5,-2,3,-5,0,0
127,1044129,3,-3,-5,2,-3,1,-2
128,1043706,3,-4,3,2,-4,0,0
129,1043701,2,-3,0,0,0,0,0
130,1044431,2,-2,2,0,0,0,0
131,1045561,2,-2,-2,2,-2,0,0
132,1045128,3,-3,1,1,-2,0,0
133,1043490,2,-2,1,1,-2,0,0
134,1043344,3,-3,1,3,-3,0,0
135,1045934,3,-2,4,2,-1,0,0
136,1041886,2,-3,-3,2,-2,0,0
137,1041881,2,-2,1,0,0,0,0
138,1041880,1,-2,-1,0,0,0,0
139,1041883,2,-2,-1,0,0,0,0
140,1041882,2,-3,-2,2,-2,0,0
141,1042654,2,-2,1,2,-2,0,0
142,1042653,3,-3,4,1,-2,0,0
143,1042089,1,-1,0,0,0,0,0
144,1045897,3,-4,4,1,-3,0,0
145,1045891,3,-3,0,2,-2,0,0
146,1045518,2,-3,2,1,-1,2,-3
147,1041830,2,-2,-1,0,0,2,-2
148,1041832,3,-4,-13,0,0,0,0
149,1041839,3,-3,2,3,-3,0,0
150,1045295,1,-2,-1,1,-1,0,0
151,1045096,3,-3,-4,3,-3,1,-2
152,1042881,2,-3,-1,2,-2,0,0
153,1042882,3,-3,3,3,-2,0,0
154,1042331,3,-2,3,1,-1,0,0
155,1042884,3,-3,-3,0,0,1,-2
156,1042885,2,-3,-3,2,-2,1,-1
157,1045091,3,-1,4,1,-1,0,0
158,1041941,3,-4,0,3,-4,0,0
159,1042338,3,-2,5,1,-2,0,0
160,1042729,2,-3,-10,2,-2,0,0
161,1043802,2,-3,-2,1,-3,0,0
162,1043801,2,-2,1,0,0,0,0
163,1043805,3,-3,-7,0,0,0,0
164,1043808,2,-3,-6,0,0,0,0
165,1045739,3,-3,3,3,-3,2,-2
166,1041846,2,-2,0,1,-1,0,0
167,1045741,3,-1,2,0,0,0,0
168,1045749,2,-2,-2,0,0,0,0
169,1043963,2,-2,-1,2,-2,0,0
170,1045584,3,-3,-1,3,-3,0,0
171,1046010,2,-3,-3,0,0,0,0
172,1043337,3,-2,1,0,0,0,0
173,1043331,2,-2,0,0,0,0,0
174,1043111,1,-3,-2,0,0,0,0
175,1043110,3,-4,3,3,-3,0,0
176,1043448,3,-2,4,1,-2,0,0
177,1042342,1,-1,0,1,-1,0,0
178,1042833,2,-2,-1,2,-2,0,0
179,1042426,3,-4,-1,3,-2,1,-2
180,1042423,2,-2,0,2,-2,0,0
181,1042348,2,-2,-1,2,-2,1,-1
182,1045068,1,-1,0,1,-1,0,0
183,1046101,3,-2,2,3,-2,0,0
184,1045063,2,-3,-2,0,0,0,0
185,1045067,1,-1,0,1,-1,0,0
186,1045065,1,-1,0,1,-1,0,0
187,1043898,1,-2,-1,0,0,0,0
188,1043896,3,-3,3,3,-3,0,0
189,1044165,3,-2,2,2,-1,0,0
190,1044162,2,-3,-2,2,-2,0,0
191,1045329,2,-3,0,2,-3,0,0
192,1044365,3,-2,2,0,0,0,0
193,1042525,3,-3,-1,2,-1,0,0
194,1046210,2,-3,-2,0,0,0,0
195,1042908,2,-2,0,1,-2,0,0
196,1044762,1,-2,-1,0,0,0,0
197,1044488,3,-2,0,0,0,1,-1
198,1042519,3,-4,2,1,-1,0,0
199,1041845,3,-3,-3,0,0,0,0
200,1042517,3,-1,3,0,0,0,0
201,1042043,3,-2,3,0,0,0,0
