Delta,Month,Channel,Number_of_uplifts
0,Aug 2014,aurora,75
0,Jul 2014,aurora,22
0,Jul 2014,beta,10
0,Aug 2014,beta,31
1,Aug 2014,release,1
1,Sep 2014,beta,61
1,Aug 2014,beta,4
1,Sep 2014,release,5
1,Aug 2014,aurora,36
1,Sep 2014,aurora,124
2,Oct 2014,aurora,148
2,Oct 2014,beta,56
2,Sep 2014,beta,44
2,Oct 2014,release,7
2,Sep 2014,aurora,77
3,Oct 2014,aurora,71
3,Oct 2014,beta,56
3,Oct 2014,release,7
3,Nov 2014,aurora,119
3,Nov 2014,release,4
3,Nov 2014,beta,55
4,Nov 2014,release,4
4,Dec 2014,aurora,105
4,Nov 2014,beta,24
4,Nov 2014,aurora,21
4,Dec 2014,beta,74
5,Dec 2014,beta,20
5,Jan 2015,release,8
5,Dec 2014,aurora,38
5,Jan 2015,aurora,162
5,Jan 2015,beta,93
6,Feb 2015,release,7
6,Jan 2015,aurora,84
6,Feb 2015,beta,68
6,Jan 2015,beta,69
6,Feb 2015,aurora,161
6,Jan 2015,release,3
7,Mar 2015,beta,133
7,Feb 2015,aurora,35
7,Mar 2015,release,12
7,Feb 2015,beta,28
7,Mar 2015,aurora,171
8,Apr 2015,release,10
8,Mar 2015,beta,14
8,Apr 2015,aurora,136
8,Apr 2015,beta,118
8,Mar 2015,aurora,80
9,May 2015,release,73
9,May 2015,aurora,147
9,Apr 2015,release,33
9,Apr 2015,beta,8
9,May 2015,beta,70
9,Apr 2015,aurora,50
10,May 2015,aurora,98
10,May 2015,beta,30
10,Jun 2015,release,1
10,May 2015,release,2
10,Jun 2015,beta,65
10,Jun 2015,aurora,96
11,Jul 2015,aurora,142
11,Jun 2015,aurora,19
11,Jul 2015,beta,85
11,Jun 2015,beta,14
11,Jul 2015,release,1
11,Jun 2015,release,1
12,Jul 2015,beta,32
12,Jul 2015,aurora,60
12,Aug 2015,release,12
12,Aug 2015,beta,68
12,Aug 2015,aurora,110
13,Aug 2015,release,3
13,Sep 2015,aurora,106
13,Sep 2015,release,6
13,Sep 2015,beta,48
13,Aug 2015,aurora,85
13,Aug 2015,beta,51
14,Oct 2015,beta,74
14,Sep 2015,aurora,59
14,Oct 2015,aurora,146
14,Sep 2015,beta,47
14,Sep 2015,release,7
14,Oct 2015,release,2
15,Oct 2015,release,3
15,Oct 2015,aurora,37
15,Oct 2015,beta,15
15,Nov 2015,beta,59
15,Nov 2015,aurora,124
16,Dec 2015,release,2
16,Nov 2015,aurora,40
16,Dec 2015,beta,34
16,Dec 2015,aurora,58
16,Nov 2015,beta,18
17,Jan 2016,aurora,121
17,Jan 2016,beta,37
17,Dec 2015,aurora,48
17,Jan 2016,release,7
17,Dec 2015,release,1
17,Dec 2015,beta,35
18,Feb 2016,release,5
18,Jan 2016,aurora,39
18,Jan 2016,release,4
18,Feb 2016,beta,96
18,Jan 2016,beta,28
18,Feb 2016,aurora,146
19,Mar 2016,beta,80
19,Mar 2016,aurora,136
19,Feb 2016,beta,21
19,Mar 2016,release,8
19,Feb 2016,aurora,68
20,Mar 2016,beta,45
20,Apr 2016,beta,47
20,Apr 2016,aurora,147
20,Mar 2016,aurora,71
20,Apr 2016,release,10
20,Mar 2016,release,3
21,Apr 2016,aurora,43
21,Apr 2016,release,3
21,Apr 2016,beta,30
21,May 2016,beta,105
21,May 2016,aurora,166
22,Jun 2016,aurora,66
22,May 2016,aurora,67
22,Jun 2016,beta,53
22,May 2016,beta,15
22,Jun 2016,release,4
23,Jul 2016,aurora,111
23,Jun 2016,beta,35
23,Jul 2016,beta,68
23,Jun 2016,release,1
23,Jun 2016,aurora,57
24,Jul 2016,aurora,36
24,Jul 2016,beta,1
24,Aug 2016,aurora,108
24,Jul 2016,release,1
24,Aug 2016,beta,75
24,Aug 2016,release,7
25,Aug 2016,aurora,40
25,Sep 2016,beta,4
25,Aug 2016,beta,29
25,Sep 2016,aurora,13
26,Sep 2016,beta,6
26,Oct 2016,beta,5
27,Nov 2016,beta,1
