Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Evaluation of risks
1068189,1094409,,,
1063538,1251697,,,
1232069,1253471,,,
1196398,1229339^1253471,,,
1131487,1163227,,,
1254019,1265977^1259065,,,
1207556,1254856,,,
1185636,1191609^1285658,,,
1254335,1257053,,,
1170143,1179051,,,
1074401,1084323,,,
1176363,1190950,,,
1119463,1125621,,,
1143299,1153695,,,
1135541,1169129^1267918,,,
1146222,1151360^1236746,,,
1114383,1118528^1195073,,,
1150277,1268984,,,
1241665,1241816,,,
1203367,1274445,,,
1216658,1272332,,,
1230209,1240766,,,
1116056,1204580^1186149^1149278^1271847,,,
1165851,1236258,,,
1054972,1070955^1062612,,,
1126038,1285867,,,
1108917,1125776^1130913^1119033^1131487,,,
1183433,1185392,,,
1050500,1168593^1172246,,,
1195051,1259831,,,
1173725,1186886,,,
1111971,1171716^1164567,,,
1110268,1156058,,,
1269325,1271847,,,
1101552,1224833,,,
1175765,1183433,,,
1043859,1164340^1187804,,,
1062876,1181896^1257950,,,
1271847,1278005,,,
1262807,1284940,,,
1092915,1163227,,,
1080867,1158031,,,
1117925,1135271,,,
1114587,1143679,,,
1063048,1137716,,,
1118235,1212349,,,
1095474,1182987,,,
1120747,1194488,,,
1066410,1067718,,,
1200208,1200673,,,
1160890,1249652^1229071,,,
1207785,1211046,,,
1177155,1210294,,,
1201796,1210291,,,
1083927,1165217^1157670^1142694^1270753^1183689^1142863^1124189,,,
1092010,1240985^1110938^1237458,,,
1152048,1190985^1277943,,,
1236979,1287706,,,
1074765,1074765,,,
1060811,1160689,,,
1145336,1237842,,,
1132572,1166133,,,
1210941,1249652,,,
1160506,1273154,,,
1127203,1182287,,,
1147521,1153145^1155241,,,
1235633,1263292^1265036,,,
1125848,1180688^1153939,,,
1175366,1279063,,,
1172239,1216431,,,
1129263,1140089^1235183,,,
1132757,1264925,,,
1171228,1192989,,,
1079627,1141819^1180931^1285867,,,
1240985,1240985^1257314,,,
1233819,1283594,,,
1072044,1172785^1136871,,,
1160295,1195844,,,
1169129,1267918,,,
1159171,1236746^1208917,,,
1145405,1160914,,,
1105535,1192989,,,
1119776,1151175,,,
1068802,1127066^1107606,,,
1259065,1265977,,,
1108701,1188131^1208932^1144519^1129877^1121661^1114910^1129247,,,
1082734,1183450^1093611,,,
1270161,1273070,,,
1212499,1253386,,,
1123498,1269408,,,
1119803,1121148,,,
1138616,1221160,,,
1167189,1266831,,,
1134841,1169210,,,
1257242,1275040^1275039,,,
1069401,1193414,,,
1072645,1073704,,,
1129732,1134064^1131487,,,
1258312,1263953,,,
1181907,1208344^1281971^1205486,,,
1138253,1143575,,,
1119019,1127405,,,
1111328,1203736^1199193^1187076^1147744,,,
1262136,1277818,,,
1064481,1074963,,,
1123245,1146873,,,
1204648,1206199,,,
1063271,1255817,,,
1073825,1240025,,,
1148949,1196539,,,
1073805,1098400^1096764,,,
1160407,1167756,,,
1290365,1293206,,,
1251334,1279614,,,
1125503,1147497,,,
1146663,1292505,,,
1171629,1186149,,,
1064840,1093298,,,
1089764,1124189^1210294,,,
1219134,1236746^1239066,,,
1192573,1211805,,,
1106448,1285867,,,
1081911,1153724,,,
1211970,1249652,,,
1125776,1195073^1175058^1182287^1131487,,,
1137614,1159840,,,
1135491,1254847,,,
1116376,1150639,,,
1118597,1190258^1253471^1271847,,,
1219852,1220728^1253777,,,
1144366,1290422,,,
1170522,1187178,,,
1092859,1133386,,,
1138967,1176570^1186725,,,
1167883,1274922,,,
1110534,1127554^1155268^1181894^1143339^1199193^1121757,,,
1208043,1224994,,,
1220037,1223520,,,
1265902,1268721,,,
1089833,1177013,,,
1093316,1174450,,,
1249578,1285867,,,
1108035,1123966,,,
1173260,1243226,,,
1190635,1216431,,,
1129523,1129877,,,
1078354,1190676,,,
1159641,1228723,,,
1243071,1283330,,,
1085175,1138072^1096721,,,
1160070,1221840,,,
1121692,1143575^1129247,,,
1129247,1131487,,,
1126465,1128576^1129877^1129247,,,
1120655,1280132,,,
1066726,1123920,,,
